Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Kevin Magnussen (MAG),1:47.340,1:42.220,1:41.199,1:40.720,1:41.397,1:40.645,1:40.913,1:41.119,1:40.542,1:40.259,1:40.705,1:40.215,1:40.326,1:40.205,1:40.161,1:40.067,1:40.047,1:39.882,1:41.918,1:39.766,1:39.953,1:39.972,1:39.790,1:44.253,1:57.189,1:38.282,1:38.639,1:39.334,1:39.809,1:39.639,2:03.635,2:15.242,1:56.801,2:25.148,2:26.169,1:40.229,1:39.130,1:38.807,1:38.231,1:38.198,1:38.939,1:38.694,1:38.366,1:38.501,1:38.476,1:38.274,1:38.999,1:39.969,1:39.037,1:38.511,1:38.374,1:38.180,1:38.439,1:38.152,1:38.334,1:38.633
Valtteri Bottas (BOT),1:41.407,1:39.357,1:39.074,1:38.810,1:38.981,1:38.566,1:38.717,1:38.881,1:38.683,1:38.801,1:39.081,1:38.958,1:38.958,1:39.244,1:39.248,1:38.979,1:39.555,1:39.320,1:43.746,1:54.023,1:37.011,1:37.550,1:37.571,1:37.673,1:37.575,1:38.577,1:38.448,1:37.763,1:37.654,1:38.698,1:40.989,2:42.901,2:38.230,2:27.194,2:27.778,1:37.716,1:37.675,1:37.841,1:37.775,1:37.788,1:37.561,1:37.533,1:37.664,1:37.138,1:38.909,1:37.683,1:37.168,1:37.186,1:37.278,1:36.987,1:37.228,1:37.341,1:37.291,1:37.070,1:37.206,1:37.235
Daniel Ricciardo (RIC),1:44.974,1:40.480,1:40.059,1:40.085,1:39.715,1:39.225,1:39.222,1:39.211,1:39.255,1:39.166,1:39.364,1:39.275,1:39.557,1:39.455,1:39.744,1:39.371,1:44.248,1:56.635,1:38.295,1:38.159,1:38.045,1:37.838,1:37.948,1:37.823,1:37.557,1:37.649,1:37.689,1:37.540,1:37.934,1:38.173,1:48.178,2:32.919,2:36.553,2:25.281,2:25.287,1:38.699,1:37.696,1:37.018,1:37.326,1:36.967,1:36.608,1:37.199,1:36.970,1:36.901,1:36.750,1:36.221,1:35.983,1:37.238,1:37.019,1:36.833,1:36.728,1:36.772,1:36.587,1:36.430,1:35.785,1:36.741
Sergio Pérez (PER),1:50.081,1:42.503,1:41.960,1:41.303,1:41.351,1:41.639,1:41.471,1:41.436,1:41.685,1:40.919,1:41.734,1:45.555,1:56.712,1:39.004,1:39.260,1:40.226,1:40.013,1:39.889,1:40.298,1:40.395,1:40.206,1:39.337,1:39.365,1:39.517,1:40.655,1:39.600,1:39.497,1:40.038,1:39.582,1:39.937,2:05.423,2:19.679,2:03.743,2:12.578,2:19.734,1:41.210,1:40.062,1:39.287,1:39.297,1:38.950,1:38.582,1:38.835,1:38.718,1:38.665,1:39.014,1:37.882,1:37.889,1:38.335,1:38.042,1:37.939,1:38.360,1:38.123,1:38.230,1:37.673,1:38.094,1:41.593
Nico Hülkenberg (HUL),1:45.727,1:40.964,1:40.611,1:40.487,1:40.716,1:40.388,1:40.476,1:40.547,1:40.545,1:40.179,1:40.754,1:40.448,1:44.632,1:59.283,1:39.689,1:39.859,1:39.763,1:39.622,1:39.593,1:40.357,1:40.177,1:39.560,1:39.584,1:39.009,1:39.060,1:38.722,1:39.094,1:39.424,1:39.549,1:39.573,2:02.077,2:31.303,1:53.398,2:23.044,2:24.987,1:38.525,1:38.648,1:38.591,1:38.358,1:38.022,1:37.819,1:38.479,1:38.427,1:37.972,1:38.465,1:37.729,1:37.432,1:37.518,1:37.652,1:37.793,1:37.394,1:37.401,1:37.198,1:36.977,1:36.950,1:36.881
Romain Grosjean (GRO),1:46.682,1:42.127,1:40.893,1:41.175,1:41.206,1:41.806,1:41.296,1:41.283,1:40.918,1:40.485,1:40.717,1:41.432,1:40.499,1:40.654,1:40.678,1:45.320,1:58.007,1:39.850,1:40.244,1:40.015,1:39.521,1:40.095,1:39.838,1:39.754,1:41.095,1:39.355,1:39.413,1:39.327,1:39.978,1:39.695,2:05.979,2:16.443,1:51.670,2:21.898,2:25.150,1:41.973,1:39.913,1:39.503,1:39.010,1:38.787,1:38.944,1:38.776,1:38.699,1:38.704,1:39.960,1:45.401,1:57.064,1:37.712,1:38.100,1:38.058,1:37.410,1:37.483,1:37.811,1:38.221,1:37.659,1:37.990
Sebastian Vettel (VET),1:40.327,1:38.417,1:38.472,1:39.025,1:38.869,1:38.620,1:38.658,1:38.819,1:38.774,1:38.750,1:38.761,1:38.796,1:38.755,1:39.006,1:38.916,1:39.220,1:39.454,1:39.488,1:39.405,1:44.136,1:55.982,1:37.735,1:37.504,1:37.479,1:37.750,1:37.827,1:38.534,1:38.019,1:37.822,1:38.639,1:42.680,2:42.086,2:37.486,2:28.497,2:26.282,1:38.558,1:37.489,1:37.822,1:37.602,1:37.563,1:37.518,1:38.487,1:45.796,1:40.615,1:38.188,1:37.742,1:37.852,1:37.841,1:38.239,1:38.178,1:38.211,1:38.216,1:38.523,1:38.396,1:40.608,1:39.232
Kimi Räikkönen (RAI),1:43.610,1:39.580,1:39.219,1:39.566,1:39.717,1:39.272,1:39.281,1:39.598,1:39.297,1:39.201,1:39.511,1:39.131,1:39.263,1:39.623,1:39.620,1:39.386,1:39.431,1:39.012,1:39.162,1:39.238,1:39.162,1:39.378,1:39.316,1:39.667,1:39.257,1:39.335,1:46.198,1:56.265,1:36.910,1:37.648,1:49.405,2:19.243,2:37.082,2:25.212,2:25.140,1:39.019,1:38.991,1:37.942,1:37.778,1:38.102,1:37.369,1:37.398,1:37.720,1:37.031,1:36.866,1:36.883,1:36.673,1:36.456,1:36.675,1:36.670,1:37.354,1:37.130,1:37.351,1:37.260,1:37.269,1:37.144
Fernando Alonso (ALO),1:48.139,1:42.614,1:40.881,1:41.448,1:41.412,1:40.826,1:40.684,1:40.986,1:41.224,1:40.373,1:40.823,1:41.356,1:40.650,1:40.663,1:40.473,1:41.169,1:40.397,1:40.280,1:39.971,1:40.102,1:40.147,1:40.249,1:39.981,1:40.031,1:39.938,1:39.722,1:39.939,1:40.259,1:45.351,1:58.205,2:06.309,2:15.062,1:54.260,2:16.988,2:23.510,1:40.202,1:39.183,1:38.636,1:37.961,1:38.407,1:38.543,1:39.190,1:38.215,1:38.648,1:38.360,1:38.107,1:38.699,1:37.657,1:37.840,1:37.386,1:37.448,1:37.414,1:37.826,1:38.190,1:37.451,1:37.234
Lewis Hamilton (HAM),1:44.362,1:39.660,1:39.553,1:39.743,1:39.863,1:39.375,1:39.173,1:39.482,1:39.196,1:39.184,1:39.618,1:39.452,1:39.161,1:39.277,1:39.625,1:39.629,1:39.940,1:43.390,1:55.098,1:36.878,1:37.262,1:37.741,1:37.755,1:37.952,1:37.686,1:37.450,1:37.888,1:37.838,1:37.767,1:38.767,1:44.921,2:35.104,2:38.666,2:25.397,2:25.813,1:38.863,1:37.622,1:37.623,1:38.224,1:38.252,1:37.855,1:38.805,1:39.626,1:37.525,1:37.471,1:37.099,1:37.147,1:38.405,1:37.301,1:37.206,1:37.160,1:37.194,1:38.081,1:36.978,1:37.512,1:37.750
