Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Michael Schumacher (MSC),1:45.323,1:42.056,1:41.572,1:41.399,1:41.637,1:41.610,1:41.911,1:41.891,1:44.559,1:58.519,1:41.258,1:40.796,1:40.597,1:40.800,1:40.976,1:40.733,1:41.371,1:40.810,1:40.583,1:41.163,1:42.661,1:41.089,1:42.230,1:54.925,2:23.513,2:11.968,2:30.742,1:40.381,1:39.010,1:38.962,1:38.957,1:38.684,1:38.611,1:38.718,1:38.907,1:38.726,1:38.936,1:38.297,1:38.370,1:38.199,1:40.798,1:55.485,1:38.279,1:38.670,1:38.680,1:38.504,1:38.630,1:38.282,1:39.120,1:38.427,1:38.273,1:38.033,1:37.916
Vitantonio Liuzzi (LIU),1:55.499,1:46.241,1:45.722,1:45.175,1:45.420,1:54.278,1:47.367,1:51.230,2:11.060,1:45.865,1:45.689,1:46.295,1:46.769,1:50.891,1:45.853,1:47.198,1:49.573,1:47.487,1:47.732,1:49.112,1:47.229,1:47.619,2:07.081,2:24.925,1:46.159,2:06.244,1:44.949,1:44.538,1:44.459,1:43.804,1:44.261,1:44.712,1:44.774,1:45.093,1:48.596,2:02.693,1:42.409,1:42.949,1:43.012,1:45.582,1:45.582,1:46.945,1:44.760,1:44.332,1:49.858,1:45.405,1:46.970,1:48.146,1:49.866,1:51.810
Rubens Barrichello (BAR),1:51.148,1:43.902,1:43.112,1:43.751,1:42.650,1:42.465,1:42.011,1:42.038,1:42.540,1:43.149,1:42.444,1:44.875,2:00.313,1:41.237,1:41.308,1:42.270,1:42.588,1:41.341,1:41.206,1:41.282,1:41.068,1:41.294,1:41.483,2:01.244,2:22.324,1:48.662,2:28.484,1:42.573,1:41.733,1:40.772,1:40.711,1:41.028,1:40.348,1:41.405,1:40.990,1:40.422,1:42.486,1:57.942,1:39.870,1:39.958,1:39.712,1:39.637,1:39.223,1:39.678,1:41.965,1:40.490,1:39.864,1:39.603,1:39.425,1:39.915,1:39.327,1:39.272,1:39.080
Sebastian Vettel (VET),1:40.257,1:40.120,1:39.852,1:39.882,1:39.783,1:40.070,1:41.200,1:41.700,1:44.787,1:58.788,1:39.916,1:39.465,1:39.508,1:39.565,1:39.322,1:39.530,1:39.568,1:40.367,1:42.940,1:56.873,1:39.041,1:38.692,1:38.582,1:47.871,2:23.072,2:27.661,2:33.934,1:38.176,1:38.014,1:37.997,1:38.139,1:38.414,1:40.724,1:56.441,1:39.547,1:37.576,1:37.449,1:36.931,1:37.546,1:37.852,1:38.534,1:38.365,1:37.444,1:38.101,1:38.949,1:37.232,1:37.388,1:37.134,1:37.129,1:37.001,1:37.134,1:36.916,1:36.954
Jenson Button (BUT),1:42.700,1:41.270,1:40.575,1:40.370,1:40.264,1:40.070,1:40.707,1:42.198,1:41.200,1:42.704,1:57.106,1:39.187,1:39.669,1:39.613,1:39.430,1:39.093,1:39.536,1:39.660,1:39.846,1:41.587,1:54.973,1:38.498,1:38.852,1:47.020,2:23.826,2:27.881,2:33.862,1:37.576,1:37.527,1:37.519,1:37.814,1:38.140,1:38.175,1:38.318,1:38.650,1:40.780,1:54.533,1:37.317,1:36.984,1:37.010,1:38.786,1:37.295,1:37.869,1:38.616,1:37.820,1:38.111,1:38.269,1:37.999,1:37.410,1:37.303,1:36.574,1:36.568,1:38.767
Mark Webber (WEB),1:44.792,1:41.771,1:41.056,1:40.481,1:40.635,1:40.958,1:41.083,1:41.395,1:41.420,1:43.538,1:58.195,1:39.739,1:39.478,1:39.292,1:39.724,1:40.057,1:39.779,1:40.244,1:41.874,1:55.049,1:39.026,1:38.827,1:38.675,1:54.224,2:13.164,2:26.957,2:32.663,1:38.490,1:38.389,1:38.709,1:38.401,1:38.344,1:38.822,1:41.271,1:55.201,1:38.887,1:39.674,1:37.486,1:37.602,1:37.400,1:38.071,1:37.729,1:38.124,1:37.322,1:37.409,1:37.426,1:36.828,1:37.347,1:37.497,1:37.662,1:37.377,1:37.744,1:38.190
Adrian Sutil (SUT),1:47.614,1:42.010,1:41.739,1:41.697,1:41.896,1:41.701,1:42.171,1:45.303,2:01.238,1:40.956,1:41.188,1:41.000,1:42.417,1:41.163,1:40.949,1:41.149,1:40.943,1:41.638,1:41.420,1:41.651,1:41.793,1:41.736,1:44.577,2:18.371,2:05.380,1:57.835,2:29.055,1:42.931,1:40.875,1:40.381,1:39.037,1:39.073,1:39.304,1:39.618,1:39.722,1:40.435,1:42.790,1:57.134,1:38.603,1:38.625,1:38.888,1:39.318,1:38.133,1:38.395,1:39.234,1:39.101,1:39.013,1:38.825,1:41.181,1:39.700,1:39.222,1:39.659,1:40.087
Jarno Trulli (TRU),1:52.466,1:45.032,1:43.983,1:43.545,1:43.678,1:44.127,1:44.678,1:43.660,1:44.833,1:44.979,1:46.808,2:00.354,1:49.733,1:43.005,1:42.133,1:42.894,1:42.547,1:42.220,1:42.326,1:42.170,1:42.657,1:42.664,1:42.739,2:09.864,2:12.303,1:45.086,2:03.566,1:42.723,1:43.480,1:41.857,1:41.332,1:40.908,1:40.868,1:41.231,1:41.202,1:43.145,1:41.887,1:44.262,1:58.437,1:39.988,1:39.769,1:39.676,1:40.150,1:40.110,1:39.918,1:40.047,1:39.905,1:39.747,1:39.561,1:39.937,1:41.018,1:41.423,1:42.936
Felipe Massa (MAS),1:43.669,1:41.290,1:41.021,1:40.637,1:40.643,1:41.917,1:40.901,1:41.348,1:41.402,1:41.334,1:43.299,1:56.802,1:39.191,1:39.550,1:39.795,1:39.610,1:39.776,1:40.351,1:40.575,1:40.881,1:42.003,1:41.916,1:56.455,1:50.853,2:10.206,2:26.470,2:32.791,1:39.425,1:38.166,1:38.311,1:38.661,1:38.360,1:38.554,1:38.999,1:38.357,1:40.610,1:57.709,1:39.477,1:39.481,1:39.601,1:40.076,1:38.444,1:38.000,1:38.536,1:38.733,1:38.411,1:38.577,1:38.463,1:39.459,1:37.800,1:38.313,1:38.332,1:38.126
Timo Glock (GLO),1:54.730,1:45.609,1:44.981,1:45.240,1:44.820,1:44.871,1:44.784,1:45.140,1:44.783,1:45.323,1:45.939,1:48.976,2:06.462,1:43.860,1:43.626,1:44.287,1:43.874,1:43.771,1:46.990,2:02.947,1:44.690,1:44.504,1:55.717,2:05.713,2:22.492,2:31.827,1:49.022,1:46.524,1:44.584,1:42.944,1:43.012,1:43.265,1:43.227,1:43.173,1:43.903,1:46.545,2:01.940,1:41.941,1:42.732,1:41.944,1:42.015,1:42.778,1:43.925,1:42.914,1:41.949,1:41.704,1:43.971,1:42.931,1:43.123,1:41.992,1:43.103
Heikki Kovalainen (KOV),1:50.690,1:45.230,1:43.738,1:43.432,1:43.728,1:43.229,1:43.924,1:43.543,1:44.007,1:46.569,2:01.271,1:42.094,1:44.603,1:42.098,1:41.984,1:41.995,1:41.819,1:42.124,1:42.155,1:42.142,1:42.959,1:44.633,1:59.934,2:05.676,1:59.001,1:41.404,2:18.318,1:43.953,1:43.760,1:41.168,1:40.819,1:41.117,1:40.725,1:41.274,1:41.135,1:42.211,1:44.279,2:00.147,1:40.099,1:40.260,1:39.758,1:39.898,1:39.543,1:40.171,1:40.038,1:39.740,1:39.907,1:40.154,1:39.858,1:39.297,1:39.831,1:39.552,1:40.257
Fernando Alonso (ALO),1:44.201,1:41.568,1:40.960,1:40.661,1:40.326,1:40.436,1:40.732,1:41.400,1:40.339,1:42.254,1:57.115,1:39.735,1:39.927,1:39.892,1:39.649,1:39.791,1:39.596,1:39.608,1:39.939,1:39.634,1:41.518,1:56.640,1:38.807,1:49.051,2:17.918,2:27.789,2:33.389,1:38.863,1:38.590,1:38.575,1:38.136,1:38.056,1:38.058,1:38.242,1:37.773,1:38.039,1:39.683,1:54.239,1:37.575,1:38.088,1:38.620,1:38.117,1:37.400,1:38.035,1:38.312,1:37.027,1:37.442,1:37.200,1:36.911,1:36.682,1:36.850,1:37.062,1:38.137
Nico Rosberg (ROS),1:54.517,1:44.262,1:44.430,1:42.555,1:43.979,1:43.563,1:42.373,1:42.429,1:43.683,1:42.440,1:44.312,1:45.524,1:57.627,1:40.044,1:40.095,1:40.350,1:41.208,1:40.447,1:40.972,1:41.409,1:40.956,1:41.270,1:41.537,2:01.453,2:20.711,1:48.019,2:28.802,1:42.899,1:40.830,1:40.561,1:39.850,1:38.549,1:39.117,1:40.351,1:39.427,1:40.516,1:40.448,1:38.621,1:39.641,1:39.641,1:43.673,1:55.084,1:36.874,1:38.318,1:39.684,1:40.224,1:39.135,1:37.054,1:38.653,1:36.614,1:37.025,1:37.908,1:38.085
Lewis Hamilton (HAM),1:41.597,1:40.289,1:40.096,1:40.086,1:40.175,1:40.899,1:41.955,1:47.004,1:58.449,1:40.258,1:40.628,1:39.846,1:39.919,1:40.441,1:40.162,1:39.695,1:40.118,1:40.176,1:40.504,1:40.660,1:44.927,1:59.069,1:39.151,1:54.349,2:06.971,2:25.337,2:32.229,1:40.464,1:38.248,1:38.029,1:38.167,1:38.445,1:38.868,1:39.010,1:41.317,1:55.931,1:38.579,1:38.456,1:39.792,1:39.335,1:37.981,1:38.506,1:38.554,1:38.528,1:38.170,1:38.393,1:38.527,1:38.297,1:37.645,1:38.036,1:38.198,1:38.340,1:38.889
