Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Pastor Maldonado (MAL),1:51.328,1:42.477,1:41.405,1:42.102,1:41.320,1:40.796,1:40.679,1:40.970,1:40.913,1:40.966,1:40.814,1:41.478,1:42.652,1:41.981,1:43.938,2:22.644,1:45.433,2:34.665,2:44.294,2:38.422,2:24.461,1:40.724,1:39.874,1:39.470,1:39.444,1:38.925,1:39.742,1:39.025,1:39.632,1:38.924,1:38.849,1:39.824,1:39.414,1:38.756,1:38.470,1:39.214,1:35.818,1:55.430,1:36.393,1:36.142,1:42.184,2:03.445,1:54.200,2:22.677,2:23.590,1:37.504,1:37.807,1:37.256,1:36.132,1:35.980,1:36.101,1:35.907
Nico Hülkenberg (HUL),1:49.352,1:41.214,1:40.624,1:39.896,1:39.668,1:40.426,1:40.727,1:41.513,1:40.625,1:40.138,1:40.113,1:37.155,2:00.770,1:38.809,1:45.196,2:03.154,1:56.836,2:37.016,2:44.199,2:37.262,2:27.550,1:40.396,1:39.328,1:38.540,1:36.183,1:55.582,1:37.819,1:37.617,1:37.001,1:37.520,1:38.202,1:38.171,1:39.447,1:38.785,1:39.238,1:38.538,1:35.868,1:55.369,1:36.444,1:36.593,1:41.769,2:03.461,1:54.781,2:21.943,2:22.557,1:37.289,1:37.016,1:36.013,1:36.051,1:36.309,1:36.764,1:36.328
Romain Grosjean (GRO),1:47.561,1:41.195,1:39.413,1:39.163,1:39.261,1:39.804,1:39.468,1:41.129,1:36.926,1:55.394,1:37.960,1:39.412,1:40.072,1:41.370,1:39.137,2:04.165,2:09.464,2:37.054,2:44.300,2:37.126,2:30.322,1:39.171,1:37.943,1:37.616,1:37.719,1:38.055,1:38.434,1:39.427,1:39.569,1:36.376,1:55.280,1:37.807,1:37.389,1:37.458,1:36.920,1:37.449,1:36.911,1:38.927,1:37.812,1:38.376,1:37.783,2:01.018,2:17.719,2:24.279,2:22.234,1:38.167,1:36.278,1:35.614,1:36.019,1:39.475,1:39.749
Sebastian Vettel (VET),1:43.277,1:39.127,1:38.741,1:38.660,1:38.409,1:38.210,1:38.105,1:38.567,1:38.309,1:38.493,1:38.625,1:38.639,1:36.432,1:53.507,1:36.698,1:59.982,2:30.137,2:39.769,2:43.802,2:36.714,2:31.957,1:37.417,1:36.634,1:36.273,1:36.345,1:36.410,1:36.516,1:36.755,1:37.349,1:37.269,1:36.661,1:36.742,1:37.527,1:36.491,1:34.486,1:51.680,1:35.018,1:35.266,1:35.867,1:35.173,1:59.965
Jenson Button (BUT),1:48.470,1:40.919,1:39.743,1:39.869,1:40.433,1:40.492,1:41.346,1:40.975,1:40.626,1:40.351,1:38.333,1:54.994,1:38.427,1:38.486,1:39.192,2:04.100,2:08.025,2:37.321,2:43.778,2:37.171,2:28.302,1:39.761,1:38.814,1:38.093,1:38.356,1:38.179,1:38.258,1:38.434,1:38.151,1:38.220,1:38.342,1:35.853,1:53.005,1:37.570,1:36.934,1:38.100,1:36.439,1:36.978,1:36.356,1:36.531,1:36.513,2:01.472,2:14.753,2:29.946,2:23.942,1:38.558,1:39.835,1:37.027,1:37.619,1:36.956,1:37.017,1:38.060
Mark Webber (WEB),1:50.350,1:40.747,1:39.329,1:39.744,1:39.867,1:40.458,1:40.104,1:40.093,1:39.931,1:36.763,2:01.025,1:37.376,1:37.165,1:37.915,1:39.656,2:04.583,2:08.251,2:37.534,2:43.850,2:37.184,2:29.081,1:39.036,1:38.169,1:37.718,1:37.881,1:37.810,1:38.284,1:38.743,1:37.945,1:37.164,1:35.085,1:51.978,1:35.418,1:35.569,1:35.552,1:35.613,1:35.718,1:36.374,1:36.737,1:36.997,1:36.508,1:55.744,2:31.956,2:31.756,2:24.584,1:36.163,1:35.164,1:35.084,1:33.797,1:33.426,1:33.841,1:33.401
Adrian Sutil (SUT),1:45.265,1:39.914,1:39.325,1:39.145,1:39.139,1:39.005,1:39.363,1:40.076,1:40.212,1:39.703,1:39.537,1:36.895,1:55.423,1:37.715,1:37.764,2:04.101,2:13.830,2:39.325,2:43.916,2:37.022,2:31.569,1:38.802,1:37.533,1:37.479,1:37.384,1:37.857,1:38.401,1:38.568,1:37.973,1:37.943,1:38.080,1:38.213,1:35.684,1:54.989,1:35.961,1:36.280,1:36.327,1:36.532,1:36.608,1:36.866,1:36.306,1:59.574,2:19.903,2:31.767,2:25.033,1:36.749,1:36.959,1:36.768,1:37.361,1:36.252,1:36.810,1:36.585
Felipe Massa (MAS),1:46.125,1:39.881,1:39.260,1:39.125,1:39.059,1:39.268,1:39.523,1:39.722,1:40.216,2:45.299,2:05.338,1:37.956,1:37.847,1:38.234,2:00.207,2:02.101,1:55.775,1:41.827,2:41.968,2:38.661,2:19.357,1:39.842,1:39.904,1:39.773,1:39.112,1:38.031,1:38.988,1:39.232,1:37.991,1:37.880,1:37.980,1:38.182,1:37.718,1:38.264,1:38.769,1:37.436,1:53.275,1:36.244,1:36.323,1:36.106,1:37.628,2:01.056,2:10.425,2:22.935,2:22.112,1:37.166,1:35.632,1:35.521,1:36.312,1:36.411,1:35.273,1:35.759
Kimi Räikkönen (RAI),1:46.556,1:40.300,1:39.236,1:38.953,1:39.252,1:39.204,1:39.291,1:39.747,1:40.145,1:40.083,1:37.157,1:57.103,1:40.055,1:40.410,1:38.099,2:04.443,2:09.917,2:37.055,2:44.249,2:37.275,2:30.664,1:38.834,1:38.033,1:37.477,1:37.838,1:37.815,1:38.060,1:38.494,1:35.815,1:52.515,1:36.584,1:36.537,1:37.279,1:35.453,1:36.053,1:36.141,1:35.930,1:36.370,1:36.539,1:36.757,1:36.639,1:59.476,2:26.354,2:31.699,2:25.426,1:36.563,1:36.264,1:36.955,1:35.384,1:35.524,1:36.020,1:36.691
Fernando Alonso (ALO),1:47.989,1:40.172,1:39.222,1:39.224,1:39.382,1:39.748,1:39.389,1:40.034,1:39.811,1:38.899,1:53.871,1:38.411,1:37.987,1:37.471,1:37.736,2:05.675,2:13.622,2:37.717,2:43.903,2:37.067,2:31.348,1:38.808,1:37.846,1:37.486,1:37.983,1:37.607,1:37.950,1:38.597,1:38.079,1:35.720,1:52.826,1:36.204,1:37.176,1:36.000,1:37.196,1:36.565,1:36.491,1:36.479,1:36.173,1:36.179,1:34.386,2:18.077,2:15.345,2:29.062,2:23.582,1:36.293,1:36.216,1:35.233,1:34.804,1:34.090,1:34.681,1:34.768
Nico Rosberg (ROS),1:44.157,1:39.451,1:38.900,1:38.586,1:38.459,1:38.561,1:38.565,1:38.704,1:38.609,1:39.047,1:38.872,1:36.528,1:54.712,1:36.743,1:36.773,2:00.236,2:28.199,2:39.514,2:43.661,2:37.458,2:31.455,1:37.721,1:36.732,1:36.829,1:36.474,1:36.795,1:37.328,1:37.468,1:36.918,1:36.872,1:36.930,1:36.685,1:37.293,1:34.861,1:52.766,1:34.371,1:35.089,1:34.892,1:35.335,1:35.594,1:36.595,1:55.778,2:41.660,2:32.356,2:25.931,1:36.445,1:36.146,1:35.352,1:33.738,1:33.531,1:33.992,1:33.789
Lewis Hamilton (HAM),1:42.428,1:38.760,1:38.384,1:38.249,1:38.194,1:38.305,1:38.170,2:16.481,1:59.767,1:38.763,1:39.387,1:39.114,1:38.980,1:38.922,1:47.090,2:03.271,1:44.638,2:36.516,2:44.184,2:37.012,2:26.564,1:40.479,1:39.547,1:38.256,1:37.928,1:37.947,1:38.156,1:38.406,1:38.335,1:37.840,1:38.141,1:38.276,1:39.340,1:37.807,1:37.278,1:35.261,1:54.476,1:35.253,1:35.530,1:35.536,1:35.734,2:01.459,2:14.753,2:28.787,2:23.261,1:36.730,1:35.567,1:35.717,1:35.124,1:34.577,1:34.159,1:34.373
