Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Pastor Maldonado (MAL),1:54.066,1:46.469,1:45.787,1:45.990,1:45.873,1:46.572,1:52.369,2:02.165,1:45.858,1:45.620,1:45.439,1:45.330,1:44.516,1:45.018,1:44.757,1:44.050,1:45.303,1:45.104,1:44.874,1:45.424,1:44.524,1:44.481,1:48.006,2:00.683,1:43.030,1:43.075,1:43.256,1:43.786,1:43.987,1:43.897,1:44.149,1:44.324,1:43.906,1:43.770,1:43.953,1:43.199,1:43.074,1:43.433,1:46.894,1:58.056,1:42.305,1:41.144,1:41.665,1:41.933,1:41.835,1:41.907,1:41.807,1:41.525,1:41.803,1:42.265,1:41.957,1:41.990,1:42.065,1:40.968,1:41.801,1:41.361
Nico Hülkenberg (HUL),1:51.485,1:44.903,1:44.177,1:44.869,1:45.080,1:45.096,1:44.540,1:43.386,1:44.142,1:44.148,1:44.330,1:44.725,1:44.777,1:48.547,2:02.303,1:42.489,1:43.253,1:44.334,1:44.300,1:44.008,1:43.651,1:43.591,1:43.432,1:43.466,1:43.397,1:43.766,1:43.466,1:43.249,1:47.390,1:56.276,1:40.630,1:41.427,1:42.871,1:43.059,1:44.468,1:48.498,1:58.640,1:40.764,1:41.009,1:41.553,1:41.765,1:41.964,1:42.147,1:42.003,1:41.899,1:43.041,1:42.400,1:42.092,1:42.216,1:42.342,1:41.843,1:42.107,1:43.512,1:41.915,1:41.624,1:41.178
Romain Grosjean (GRO),1:49.341,1:44.020,1:44.456,1:44.647,1:46.557,1:48.185,1:51.265,1:59.676,1:43.669,1:44.090,1:44.550,1:44.839,1:44.570,1:45.588,1:44.886,1:44.748,1:44.051,1:44.211,1:44.725,1:44.161,1:43.951,1:44.259,1:48.024,1:57.875,1:42.053,1:41.931,1:42.987,1:42.782,1:42.723,1:42.829,1:42.287,1:43.521,1:44.157,1:43.475,1:42.992,1:43.297,1:46.347,1:57.781,1:41.792,1:42.203,1:41.651,1:41.497,1:41.401,1:41.348,1:41.463,1:41.591,1:41.218,1:41.375,1:41.050,1:41.532,1:41.101,1:41.012,1:41.466,1:41.738,1:40.563,1:40.861
Sebastian Vettel (VET),1:50.745,1:44.811,1:44.296,1:46.058,1:45.314,1:45.117,1:44.585,1:43.686,1:43.730,1:44.222,1:44.735,1:44.594,1:44.691,1:48.204,1:57.977,1:42.858,1:44.359,1:44.837,1:44.183,1:44.153,1:43.407,1:43.098,1:43.159,1:43.150,1:42.660,1:42.804,1:42.600,1:42.878,1:44.625,1:43.450,1:47.946,1:57.301,1:40.391,1:40.652,1:41.244,1:41.145,1:41.447,1:41.673,1:40.949,1:41.586,1:41.764,1:41.312,1:42.278,1:41.241,1:41.620,1:40.353,1:40.722,1:40.283,1:40.039,1:40.216,1:44.716,1:53.280,1:36.808,1:37.256,1:38.211,1:40.051
Jenson Button (BUT),1:50.314,1:44.809,1:44.138,1:47.218,1:45.263,1:45.670,1:44.768,1:44.751,1:44.593,1:44.416,1:44.622,1:44.935,1:44.720,1:44.821,1:44.155,1:44.623,1:44.515,1:44.198,1:44.525,1:44.592,1:45.032,1:43.834,1:48.230,1:56.909,1:42.442,1:42.139,1:42.552,1:43.046,1:44.082,1:43.566,1:43.975,1:44.051,1:43.483,1:43.037,1:43.187,1:43.073,1:43.661,1:43.086,1:42.020,1:41.748,1:41.649,1:41.684,1:41.426,1:42.343,1:42.279,1:42.125,1:42.308,1:41.886,1:46.520,1:53.549,1:40.306,1:41.090,1:40.738,1:40.741,1:40.729,1:38.058
Mark Webber (WEB),1:59.567,1:59.905,1:43.511,1:43.643,1:43.550,1:44.933,1:44.226,1:43.722,1:44.241,1:45.005,1:44.061,1:43.416,1:43.773,1:45.329,1:50.576
Adrian Sutil (SUT),1:52.187,1:44.605,1:44.257,1:45.829,1:52.172
Felipe Massa (MAS),1:46.607,1:44.345,1:44.306,1:45.485,1:45.836,1:46.935,1:50.262,1:59.779,1:43.174,1:44.060,1:43.282,1:43.728,1:44.570,1:43.771,1:44.176,1:44.400,1:44.869,1:44.644,1:49.712,1:57.621,1:42.983,1:42.704,1:42.714,1:42.591,1:43.296,1:43.669,1:43.797,1:43.558,1:43.646,1:43.997,1:43.586,1:44.921,1:42.860,1:42.421,1:42.607,1:47.229,1:56.202,1:40.608,1:40.548,1:40.832,1:41.135,1:41.061,1:41.283,1:41.443,1:41.351,1:41.861,1:41.914,1:41.458,1:41.506,1:41.961,1:41.690,1:41.605,1:40.973,1:40.402,1:40.284,1:41.514
Kimi Räikkönen (RAI),1:47.160,1:44.475,1:44.288,1:45.290,1:46.769,1:50.570,1:59.584,1:42.930,1:43.443,1:43.314,1:43.270,1:43.647,1:43.216,1:44.136,1:44.348,1:45.951,1:43.150,1:43.189,1:44.216,1:44.076,1:49.192,1:57.797,1:42.895,1:41.987,1:42.233,1:42.053,1:41.843,1:42.606,1:42.793,1:43.453,1:42.990,1:42.269,1:42.513,1:46.278,1:56.909,1:40.979,1:40.851,1:41.397,1:41.170,1:40.246,1:40.524,1:40.682,1:40.360,1:40.261,1:40.297,1:40.568,1:40.947,1:40.941,1:40.367,1:40.156,1:39.955,1:40.027,1:40.321,1:40.176,1:40.584,1:41.471
Fernando Alonso (ALO),1:46.002,1:44.566,1:44.314,1:45.573,1:44.939,1:50.122,1:58.755,1:43.040,1:43.120,1:42.914,1:43.117,1:43.721,1:44.509,1:43.785,1:43.504,1:43.399,1:43.396,1:44.518,1:44.116,1:44.558,1:43.120,1:42.651,1:46.689,1:58.344,1:41.090,1:41.379,1:40.973,1:41.715,1:42.761,1:41.947,1:41.829,1:42.000,1:42.345,1:42.758,1:41.902,1:41.310,1:41.319,1:41.421,1:41.205,1:41.193,1:45.948,1:56.876,1:40.274,1:40.191,1:39.692,1:39.506,1:39.552,1:39.900,1:39.781,1:40.320,1:40.494,1:40.705,1:41.575,1:40.030,1:39.870,1:42.312
Nico Rosberg (ROS),1:48.691,1:44.140,1:44.583,1:47.237,1:52.442,2:00.971,1:43.378,1:43.648,1:43.856,1:44.015,1:45.345,1:44.304,1:44.036,1:44.200,1:45.246,1:44.648,1:44.670,1:44.453,1:49.423,2:14.747,2:17.875
Lewis Hamilton (HAM),1:45.684,1:44.041,1:44.864,1:45.816,1:51.988,2:00.395,1:42.612,1:42.735,1:43.156,1:43.121,1:43.112,1:44.310,1:44.292,1:45.250,1:44.685,1:43.938,1:43.954,1:44.018,1:43.909,1:44.675,1:49.104,1:57.891,1:41.970,1:41.483,1:42.094,1:41.838,1:42.349,1:42.855,1:42.878,1:43.337,1:42.374,1:43.039,1:42.666,1:42.296,1:41.826,1:42.539,1:46.890,1:56.547,1:40.284,1:40.279,1:40.058,1:40.422,1:40.199,1:40.404,1:40.593,1:40.624,1:41.338,1:40.731,1:40.037,1:39.981,1:40.056,1:40.057,1:40.108,1:40.279,1:41.346,1:41.940
