Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Timo Glock (GLO),1:53.462,1:40.411,1:38.053,1:38.033,1:37.776,1:37.748,1:37.856,1:37.494,1:37.779,1:37.699,1:37.654,1:37.754,1:37.933,1:38.750,1:37.599,1:40.292,1:38.107,1:37.866,1:37.860,1:37.920,1:37.354,1:37.865,1:38.659,1:37.392,1:36.770,1:37.247,1:36.914,1:37.331,1:37.315,1:37.365,1:37.164,1:37.815,1:37.462,1:37.549,1:38.036,1:35.793,1:37.575,1:56.965,1:35.385,1:35.369,1:36.714,1:36.120,1:36.240,1:35.859,1:35.988,1:36.056,1:36.369,1:35.841,1:36.419,1:35.843,1:36.089,1:35.916,1:35.908,1:36.143,1:36.049,1:36.217,1:36.175,1:35.935,1:36.102,1:37.413
Robert Kubica (KUB),1:48.622,1:38.664,1:37.713,1:37.049,1:36.759,1:36.909,1:37.154,1:37.270,1:36.949,1:37.272,1:37.111,1:37.064,1:37.362,1:37.778,1:37.468,1:37.596,1:37.328,1:37.420,1:37.601,1:37.427,1:37.417,1:37.275,1:40.391,1:58.859,1:37.187,1:37.047,1:36.958,1:37.129,1:37.702,1:38.947,1:38.004,1:37.198,1:37.083,1:36.925,1:36.690,1:36.915,1:36.474,1:36.804,1:36.538,1:36.937,1:38.166,1:36.235,1:36.827,1:38.614,1:55.775,1:34.710,1:34.537,1:37.881,1:35.624,1:35.464,1:36.023,1:35.696,1:36.089,1:35.721,1:35.768,1:36.055,1:36.530,1:36.356,1:36.352,1:37.446
Kimi Räikkönen (RAI),1:46.620,1:37.899,1:36.952,1:36.080,1:36.329,1:36.707,1:36.338,1:36.457,1:36.610,1:36.896,1:36.893,1:37.086,1:37.495,1:37.284,1:39.316,1:37.498,1:37.100,1:37.738,1:37.298,1:37.486,1:37.292,1:36.616,1:36.983,1:40.130,1:57.851,1:36.565,1:36.099,1:37.173,1:36.857,1:37.655,1:37.138,1:37.142,1:40.541,1:53.657
Sébastien Bourdais (BOU),1:53.074,1:41.580,1:40.106,1:38.550,1:37.883,1:38.492,1:37.518,1:37.741,1:37.800,1:37.498,1:37.823,1:37.725,1:37.524,1:38.151,1:38.298,1:37.950,1:38.815,2:30.178
Kazuki Nakajima (NAK),1:55.978,1:39.033,1:38.794,1:36.946,1:37.557,1:37.900,1:37.717,1:37.580,1:37.601,1:38.009,1:37.454,1:37.788,1:37.659,1:38.913,1:37.580,1:38.715,1:38.064,1:38.104,1:37.871,1:37.807,1:37.298,1:38.248,1:37.571,1:37.165,1:37.280,1:37.211,1:36.724,1:37.861,1:36.736,1:37.185,1:39.223,1:56.456,1:36.223,1:35.663,1:35.625,1:35.456,1:35.684,1:35.990,1:35.510,1:35.457,1:35.667,1:36.056,1:36.292,1:35.840,1:35.158,1:34.974,1:36.447,1:34.433,1:34.238,1:36.090,1:54.019,1:35.087,1:36.559,1:35.425,1:36.197,1:36.209,1:36.201,1:35.988,1:37.250,1:36.420
Heikki Kovalainen (KOV),1:44.749,1:36.654,1:36.324,1:36.402,1:36.065,1:36.905,1:36.112,1:36.488,1:36.595,1:36.816,1:37.262,1:37.244,1:37.985,1:38.241,1:40.837,2:00.288,1:37.850,1:38.135,1:37.804,1:37.741,1:37.396,1:38.222,1:37.570,1:37.179,1:37.245,1:37.119,1:36.656,1:38.100,1:36.723,1:37.114,1:37.127,1:37.388,1:37.062,1:37.889,1:36.317,1:36.577,1:36.624,1:36.225,1:36.095,1:38.693,1:57.585,1:35.979,1:36.420,1:35.949,1:35.973,1:36.077,1:36.330,1:35.960,1:36.382,1:35.840,1:36.173,1:35.785,1:36.038,1:35.936,1:36.218,1:36.009,1:36.067,1:35.728,1:35.524,1:36.211
Fernando Alonso (ALO),1:48.872,1:38.821,1:37.618,1:37.065,1:36.878,1:37.126,1:37.013,1:37.076,1:37.107,1:37.157,1:37.363,1:37.879,1:37.098,1:37.595,1:37.511,1:37.705,1:39.496,1:59.667,1:37.027,1:38.686,1:36.612,1:35.873,1:36.169,1:36.702,1:36.691,1:37.076,1:37.064,1:36.997,1:37.651,1:37.285,1:37.160,1:37.534,1:37.702,1:37.268,1:36.690,1:34.955,1:35.162,1:36.204,1:36.175,1:36.120,1:34.394,1:34.227,1:34.603,1:34.545,1:34.733,1:36.055,1:53.401,1:33.744,1:33.365,1:33.526,1:33.749,1:33.777,1:34.304,1:34.576,1:34.684,1:35.146,1:35.620,1:35.407,1:35.332,1:35.160
Nico Rosberg (ROS),1:47.941,1:38.601,1:37.621,1:36.755,1:36.915,1:37.091,1:37.093,1:37.412,1:36.905,1:37.132,1:37.098,1:37.446,1:37.278,1:37.617,1:37.456,1:37.546,1:37.062,1:37.026,1:36.815,1:37.027,1:36.643,1:36.517,1:36.710,1:37.375,1:36.774,1:36.230,1:36.141,1:35.839,1:38.247,1:57.907,1:36.498,1:36.103,1:35.764,1:35.659,1:35.204,1:35.264,1:35.120,1:35.501,1:35.182,1:35.842,1:35.214,1:34.874,1:35.137,1:35.001,1:35.125,1:34.724,1:36.851,1:55.579,1:34.709,1:34.403,1:34.636,1:35.287,1:35.232,1:35.205,1:35.161,1:35.466,1:35.512,1:35.661,1:35.075,1:35.200
Nick Heidfeld (HEI),1:50.274,1:38.023,1:37.998,1:37.375,1:37.182,1:37.107,1:37.032,1:38.903,1:37.524,1:36.804,1:37.580,1:37.139,1:37.541,1:37.962,1:37.772,1:38.127,1:37.683,1:37.869,1:38.733,1:37.782,1:37.719,1:37.203,1:37.600,1:37.416,1:37.344,1:40.058,1:58.579,1:35.563,1:35.770,1:37.075,1:37.456,1:36.880,1:37.102,1:37.022,1:37.074,1:35.702,1:35.818,1:36.015,1:36.974,1:36.441,1:35.123,1:34.559,1:35.156,1:34.971,1:35.317,1:35.408,1:37.504,1:56.365,1:35.968,1:35.982,1:35.959,1:36.151,1:35.961,1:35.940,1:36.041,1:36.283,1:36.314,1:35.871,1:36.264,1:36.877
Lewis Hamilton (HAM),2:47.473,2:06.961,1:37.318,1:36.986,1:41.357,1:41.000,1:43.434,1:40.174,1:39.150,1:37.544,1:37.676,1:37.878,1:43.153,1:40.281,1:38.562,1:37.902,1:38.923,1:41.924,1:37.991,1:37.386,1:37.005,1:36.599,1:37.195,1:36.947,1:36.761,1:36.978,1:36.929,1:37.307,1:37.501,1:37.238,1:36.264,1:37.024,1:36.869,1:37.865,1:37.444,1:36.118,1:38.028,1:58.635,1:36.891,1:36.614,1:36.108,1:36.013,1:36.018,1:35.774,1:35.532,1:35.367,1:35.667,1:35.615,1:36.066,1:35.972,1:36.306,1:36.467,1:39.273,1:37.853,1:39.932,1:37.843,1:37.745,1:38.204,1:40.192
