Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Rubens Barrichello (BAR),1:47.070,1:38.988,1:38.658,1:38.782,1:38.553,1:38.563,1:38.293,1:38.402,1:38.291,1:37.745,1:38.048,1:41.240,1:53.935,1:36.538,1:36.601,1:36.806,1:36.747,1:36.872,1:37.416,1:36.410,1:36.372,1:36.264,1:36.405,1:36.285,1:36.630,1:36.271,1:36.672,1:50.515,1:51.719,2:22.532,1:37.428,1:36.882,1:35.729,1:35.426,1:35.087,1:35.152,1:34.967,1:35.528,1:35.093,1:34.865,1:34.486,1:34.078,1:33.880,1:33.961,1:34.055,1:34.195,1:34.224,1:34.685,1:34.499,1:33.615,1:33.906,1:34.292
Sebastian Vettel (VET),2:45.709,1:57.568,1:37.852,1:37.756,1:37.592,1:37.270,1:37.530,1:37.066,1:36.839,1:37.112,1:36.818,1:36.524,1:36.853,1:36.725,1:36.344,1:36.610,1:36.408,1:36.148,1:36.217,1:36.011,1:35.978,1:36.127,1:36.259,1:36.517,1:35.778,1:35.172,1:39.246,1:46.050,1:42.744,1:58.342,1:36.752,1:37.747,1:35.871,1:35.228,1:34.749,1:35.188,1:34.589,1:34.999,1:34.059,1:35.054,1:33.387,1:33.977,1:34.395,1:34.487,1:34.627,1:34.568,1:34.679,1:34.781,1:35.520,1:34.790,1:34.355,1:31.967
Jenson Button (BUT),1:47.957,1:39.266,1:38.808,1:38.960,1:38.713,1:38.384,1:38.286,1:38.488,1:38.342,1:37.832,1:38.050,1:37.162,1:36.081,1:35.723,1:35.952,1:36.252,1:36.370,1:36.381,1:36.463,1:35.925,1:39.972,1:54.180,1:35.823,1:35.461,1:35.677,1:35.747,1:35.620,1:50.615,1:57.447,2:22.784,1:37.331,1:34.968,1:35.252,1:35.481,1:35.186,1:35.083,1:34.862,1:35.143,1:34.684,1:34.611,1:34.327,1:34.028,1:33.642,1:33.733,1:33.634,1:34.122,1:34.273,1:34.489,1:33.294,1:33.126,1:33.193,1:33.003
Mark Webber (WEB),1:42.360,1:37.659,1:37.113,1:37.282,1:37.056,1:36.617,1:36.410,1:36.603,1:36.258,1:36.117,1:36.091,1:35.900,1:35.758,1:35.619,1:35.712,1:35.881,1:40.013,1:52.779,1:35.301,1:35.194,1:35.343,1:35.249,1:35.088,1:34.619,1:35.018,1:34.955,1:34.805,1:47.885,2:26.174,2:27.494,1:34.555,1:33.948,1:33.953,1:33.643,1:33.365,1:33.889,1:32.990,1:33.763,1:33.463,1:33.298,1:33.251,1:32.906,1:32.655,1:33.592,1:32.364,1:32.931,1:33.368,1:33.696,1:34.154,1:33.210,1:34.100,1:36.753
Adrian Sutil (SUT),1:49.899,1:39.105,1:39.187,1:39.103,1:39.023,1:38.290,1:38.769,1:38.402,1:38.312,1:38.398,1:37.829,1:37.531,1:36.962,1:37.083,1:41.379,1:57.162,1:36.735,1:36.331,1:36.802,1:36.315,1:36.605,1:36.049,1:36.196,1:35.837,1:36.508,1:36.578,1:35.077,1:53.112,1:44.999,2:21.129,1:37.992,1:37.281,1:35.568,1:35.680,1:35.014,1:34.904,1:34.772,1:35.313,1:35.085,1:35.132,1:34.471,1:34.337,1:34.388,1:34.379,1:34.837,1:34.537,1:34.755,1:35.005,1:35.330,1:34.589,1:35.969,1:35.087
Jarno Trulli (TRU),1:52.198,1:41.677,1:41.199,1:40.958,1:40.795,1:40.675,1:40.189,1:40.166,1:40.236,1:41.173,1:39.830,1:39.705,1:39.381,1:39.388,1:39.349,1:40.190,1:39.245,1:40.123,1:39.621,1:39.157,1:39.197,1:39.112,1:38.577,1:38.436,1:43.523,1:59.585,1:49.022,2:10.590,2:26.690,1:39.890,1:44.540,1:40.875,1:37.885,1:37.446,1:37.258,1:37.517,1:37.163,1:36.945,1:37.105,1:36.952,1:37.197,1:36.988,1:37.025,1:36.519,1:36.602,1:37.876,1:36.795,1:36.975,1:37.806,1:38.311,1:37.708
Felipe Massa (MAS),2:09.681,2:01.849,1:37.548,1:37.712,1:37.122,1:37.098,1:36.805,1:37.500,1:38.253,1:37.349,1:36.541,1:36.428,1:37.226,1:37.669,1:38.454,1:41.340,1:38.080,1:37.638,1:36.013,1:36.070,1:36.019,1:37.037,1:36.919,1:37.186,1:37.471,1:37.229,1:39.309,1:53.682,1:39.230,2:06.814,1:38.301,1:37.442,1:37.868,1:35.345,1:35.190,1:35.221,1:35.520,1:35.714,1:44.261,2:08.115,1:33.349,1:32.773,1:33.349,1:33.116,1:32.924,1:34.530,1:34.100,1:32.514,1:32.648,1:32.116,1:32.375,1:31.646
Timo Glock (GLO),1:53.196,1:42.941,1:41.397,1:41.285,1:40.751,1:40.631,1:40.537,1:40.185,1:40.475,1:40.217,1:40.229,1:40.076,1:40.583,1:39.726,1:39.561,1:39.454,1:39.179,1:39.237,1:39.262,1:39.221,1:39.190,1:38.971,1:38.764,1:43.439,1:57.874,1:38.772,1:48.830,2:10.146,2:26.418,1:43.888,1:42.996,1:38.961,1:38.202,1:37.479,1:37.424,1:37.306,1:37.147,1:36.815,1:37.194,1:37.086,1:37.551,1:37.049,1:36.967,1:36.773,1:38.296,1:38.599,1:36.926,1:36.575,1:36.415,1:38.154
Robert Kubica (KUB),1:44.061,1:38.508,1:38.457,1:39.118,1:39.400,1:38.623,1:38.143,1:38.267,1:37.950,1:37.740,1:37.332,1:36.846,1:40.721,1:53.195,1:37.053,1:37.412,1:39.079,1:36.967,2:07.992
Heikki Kovalainen (KOV),1:52.611,1:41.947,1:41.210,1:40.919,1:40.686,1:41.524,1:40.476,1:40.027,1:40.177,1:40.281,1:39.958,1:39.761,1:39.554,1:39.331,1:40.185,1:39.456,1:39.718,1:39.449,1:39.526,1:39.146,1:39.227,1:42.843,2:08.012,1:37.698,1:37.843,1:37.764,1:46.430,2:09.450,2:25.644,1:47.297,1:39.871,1:38.603,1:38.373,1:37.584,1:38.546,1:37.041,1:36.952,1:36.957,1:36.980,1:37.874,1:36.927,1:36.658,1:36.841,1:36.498,1:38.355,1:37.343,1:36.281,1:36.251,1:36.822,1:37.057,1:37.652
Fernando Alonso (ALO),1:45.524,1:38.390,1:38.558,1:38.909,1:39.078,1:38.865,1:38.571,1:38.540,1:38.096,1:37.471,1:37.191,1:41.105,1:52.842,1:36.180,1:36.660,1:37.240,1:37.648,1:35.705,1:36.072,1:35.873,1:35.817,1:35.998,1:36.798,1:36.090,1:36.002,1:35.659,1:35.384,1:50.870,1:57.658,2:27.279,1:45.999,1:35.175,1:36.819,1:36.721,1:33.835,1:34.218,1:35.588,1:34.887,1:34.911,1:34.679,1:34.714,1:33.995,1:34.529,1:33.760,1:34.109,1:34.520,1:34.199,1:34.579,1:39.460,1:55.897,1:31.044,1:30.874
Nico Rosberg (ROS),1:44.737,1:38.852,1:38.291,1:38.953,1:39.346,1:38.495,1:38.519,1:38.448,1:37.958,1:37.753,1:37.175,1:36.995,1:36.501,1:35.574,1:40.012,1:53.872,1:37.257,1:36.928,1:35.871,1:35.819,1:35.923,1:36.006,1:36.246,1:36.210,1:36.180,1:35.920,1:35.729,1:48.077,1:58.849,2:24.473,1:37.807,1:35.248,1:35.598,1:35.368,1:35.119,1:35.176,1:34.826,1:34.990,1:34.759,1:34.549,1:34.067,1:33.813,1:33.933,1:33.748,1:33.657,1:33.995,1:35.090,1:33.936,1:33.078,1:32.952,1:33.189,1:33.640
Lewis Hamilton (HAM),1:42.930,1:37.714,1:37.325,1:37.940,1:37.103,1:36.970,1:36.665,1:36.878,1:36.479,1:36.426,1:35.930,1:36.324,1:35.598,1:35.633,1:36.170,1:39.840,1:53.382,1:35.560,1:35.473,1:35.341,1:36.084,1:35.320,1:35.438,1:35.452,1:35.146,1:34.766,1:34.984,1:43.725,2:25.242,2:26.915,1:35.466,1:34.348,1:34.804,1:34.384,1:33.942,1:33.731,1:33.822,1:34.113,1:33.654,1:33.549,1:33.234,1:32.793,1:32.758,1:33.604,1:33.747,1:33.389,1:33.551,1:33.555,1:33.204,1:33.099,1:33.158,1:32.902
