Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Jenson Button (BUT),2:07.373,2:30.992,2:39.323,2:39.246,2:40.012,1:47.713,1:46.500,1:46.357,1:46.265,1:45.893,1:45.795,1:46.051,1:46.077,1:46.315,1:46.237,1:46.017,1:45.707,1:45.889,1:45.567,1:45.312,1:45.187,1:44.924,1:44.836,1:44.667,1:44.339,1:44.355,1:44.643,1:44.546,1:44.929,1:44.466,1:44.415,1:44.038,1:44.007,1:44.037,1:44.001,1:43.930,1:43.691,1:43.891,1:45.271,2:03.355,1:42.401,1:42.380,1:42.569,1:42.695,1:42.439,1:42.576,1:41.914,1:41.636,1:41.896,1:41.966,1:41.764,1:41.723,1:41.977,1:41.721,1:42.058
Mark Webber (WEB),2:09.303,2:31.582,2:38.181,2:39.402,2:39.504,1:48.401,1:47.258,1:46.760,1:46.519,1:46.768,1:47.978,2:05.730,1:46.675,1:45.541,1:45.086,1:45.907,1:45.699,1:45.522,1:45.991,1:45.544,1:45.769,1:45.875,1:46.143,1:45.421,1:45.647,1:45.618,1:45.130,1:44.982,1:45.138,1:45.234,1:44.665,1:45.300,1:45.169,1:44.949,1:44.680,1:45.032,1:44.345,1:43.892,1:44.421,1:43.923,1:43.451,1:43.931,1:43.410,1:42.836,1:42.767,1:42.711,1:43.216,1:42.836,1:42.988,1:42.574,1:42.624,1:42.196,1:42.412,1:43.204,1:45.240
Adrian Sutil (SUT),2:12.914,2:31.439,2:38.037,2:39.266,2:39.061,1:50.006,1:48.247,1:47.627,1:47.272,1:47.237,1:46.693,1:46.758,1:46.621,1:46.664,1:46.495,1:46.664,1:46.534,1:46.415,1:46.194,1:46.130,1:46.042,1:45.812,1:45.797,1:45.607,1:45.446,1:45.596,1:45.439,1:45.117,1:45.156,1:45.159,1:44.960,1:44.779,1:45.357,1:44.577,1:44.657,1:44.822,1:44.653,1:44.165,1:43.608,1:43.471,1:43.980,1:43.176,1:43.116,1:42.994,1:42.994,1:42.956,1:44.477,2:04.835,1:43.104,1:42.923,1:42.952,1:42.695,1:42.723,1:42.791,1:42.952
Jarno Trulli (TRU),2:21.773,2:29.493,2:37.785,2:38.667,2:37.905,1:52.130,1:51.583,1:50.688,1:49.747,1:49.399,1:49.050,1:48.996,1:48.838,1:48.772,1:48.672,1:48.783,1:49.007,1:48.469,1:48.539,1:48.644,1:48.461,1:48.542,1:48.045,1:48.094,1:48.328,1:48.250,1:48.174,1:57.617,2:35.501,1:50.973,1:48.788,1:47.654,1:47.120,1:46.747,1:46.853,1:46.616,1:46.353,1:46.446,1:46.245,1:46.406,1:46.551,1:45.979,1:46.204,1:46.156,1:46.546,1:47.537,1:49.429,1:48.187,1:51.197,1:49.256,2:46.921
Felipe Massa (MAS),2:10.611,2:30.743,2:38.524,2:39.181,2:39.470,1:48.540,1:47.292,1:46.906,1:46.421,1:46.793,1:46.878,1:46.482,1:47.659,2:06.772,1:45.931,1:46.277,1:45.930,1:46.189,1:46.060,1:45.752,1:45.698,1:45.754,1:45.831,1:45.703,1:45.444,1:45.727,1:45.398,1:44.861,1:44.946,1:44.982,1:45.375,1:44.736,1:44.827,1:44.667,1:44.896,1:44.371,1:44.554,1:44.076,1:44.304,1:44.067,1:44.004,1:43.699,1:43.510,1:44.893,1:43.438,1:43.127,1:43.214,1:42.929,1:42.781,1:42.868,1:43.067,1:42.725,1:42.938,1:42.932,1:42.952
Timo Glock (GLO),2:23.415,2:28.810,2:38.170,2:38.897,2:37.555,1:52.943,1:50.739,1:49.983,1:49.790,1:49.834,1:49.190,1:48.926,1:49.072,1:49.180,1:49.137,1:48.756,1:48.529,1:48.660,1:48.564,1:48.370,1:48.356,1:48.423,1:48.026,1:48.142,1:47.862,1:48.272,1:49.060,1:49.893,1:47.405,1:47.214,1:47.230,1:47.900,1:48.837,1:47.394,1:48.508,1:47.416,1:49.841,1:47.076,1:46.837,1:49.015,2:12.136,1:48.016,1:47.761
Robert Kubica (KUB),2:13.403,2:31.967,2:37.851,2:38.957,2:39.148,1:48.489,1:48.345,1:47.147,1:46.758,1:46.840,1:46.630,1:46.521,1:46.799,1:46.877,1:46.734,1:46.736,1:46.510,1:46.422,1:45.925,1:45.782,1:45.536,1:45.545,1:45.220,1:45.258,1:45.849,1:44.658,1:44.495,1:44.377,1:44.379,1:45.099,1:44.355,1:43.768,1:43.863,1:44.147,1:44.016,1:43.463,1:43.502,1:43.458,1:43.099,1:42.994,1:43.138,1:43.664,1:43.009,1:42.902,1:42.829,1:44.005,2:02.684,1:42.260,1:41.986,1:42.012,1:41.753,1:41.848,1:42.481,1:42.500,1:47.870
Heikki Kovalainen (KOV),2:18.683,2:31.073,2:37.530,2:39.470,2:38.265,1:51.579,1:49.911,1:50.876,1:50.260,1:49.171,1:48.771,1:48.663,1:48.795,1:48.666,1:48.589,1:48.834,1:48.488,1:48.417,1:48.233,1:47.982,1:47.963,1:48.173,1:48.109,1:48.043,1:47.487,1:47.755,1:47.488,1:47.349,1:47.497,1:47.504,1:47.126,1:47.109,1:47.146,1:46.766,1:46.955,1:46.850,1:48.147,1:48.408,1:46.345,1:46.351,1:48.320,2:09.212,1:49.545,1:48.756,1:50.040,1:48.252,1:47.079,1:46.385,1:45.946,1:45.518,1:45.548,1:45.378,1:46.029,1:51.347
Fernando Alonso (ALO),2:08.647,2:30.326,2:39.630,2:38.986,2:39.832,1:48.302,1:46.982,1:46.593,1:46.192,1:46.121,1:45.842,1:46.105,1:45.955,1:46.341,1:48.009,2:05.671,1:45.640,1:45.520,1:45.875,1:45.786,1:45.974,1:45.672,1:46.387,1:45.368,1:45.454,1:45.262,1:45.430,1:44.992,1:45.187,1:44.960,1:45.201,1:45.100,1:45.019,1:45.123,1:44.605,1:44.711,1:44.227,1:44.510,1:43.968,1:43.517,1:43.679,1:43.547,1:43.204,1:43.014,1:43.246,1:42.942,1:43.327,1:42.956,1:43.058,1:42.467,1:42.863,1:42.227,1:42.286,1:43.689,1:45.107
Nico Rosberg (ROS),2:11.805,2:41.097,2:38.220,2:38.725,2:36.886,1:48.151,1:47.180,1:47.858,1:47.483,1:47.007,1:46.924,1:47.304,1:46.333,1:46.646,1:46.625,1:46.479,1:46.549,1:46.383,1:45.923,1:45.751,1:46.144,1:46.039,1:45.774,1:45.755,1:45.198,1:45.287,1:45.325,1:45.258,1:45.295,1:45.204,1:45.224,1:44.913,1:45.007,1:44.992,1:44.519,1:45.278,1:44.293,1:44.125,1:43.597,1:43.471,1:43.620,1:42.786,1:42.717,1:42.726,1:42.730,1:42.707,1:42.911,1:42.299,1:42.497,1:41.846,1:41.911,1:41.711,1:41.914,1:42.264,1:42.918
Nick Heidfeld (HEI),2:14.471,2:32.243,2:37.913,2:38.895,2:38.490,1:49.813,1:48.181,1:47.548,1:47.666,1:47.081,1:46.515,1:47.050,1:46.439,1:46.469,1:48.122,2:06.057,1:44.982,1:44.636,1:45.352,1:44.846,1:44.797,1:44.744,1:45.313,1:45.225,1:45.815,1:45.402,1:45.798,1:45.097,1:44.813,1:44.867,1:44.798,1:44.451,1:44.791,1:44.693,1:44.948,1:44.332,1:44.575,1:43.983,1:44.208,1:44.126,1:44.005,1:43.561,1:43.592,1:44.772,1:43.635,1:43.163,1:43.354,1:42.813,1:42.687,1:42.865,1:42.944,1:42.673,1:42.900,1:42.999,1:42.880
Lewis Hamilton (HAM),2:05.779,2:31.408,2:39.354,2:39.114,2:40.412,1:46.640,1:45.880,1:45.891,1:45.606,1:45.636,1:45.541,1:46.138,1:46.719,1:46.202,1:46.413,1:45.936,1:45.746,1:46.192,1:45.701,1:45.168,1:44.952,1:44.997,1:46.757,2:04.784,1:45.765,1:44.543,1:43.794,1:44.279,1:44.176,1:45.074,1:44.630,1:44.029,1:43.625,1:44.590,1:43.317,1:43.717,1:43.421,1:43.462,1:43.101,1:43.111,1:42.985,1:43.414,1:43.591,1:42.801,1:42.823,1:42.268,1:41.274,1:41.296,1:41.500,1:42.066,1:42.278,1:41.952,1:42.465,1:42.175,1:42.511
