Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Jenson Button (BUT),2:01.689,2:45.471,2:27.461,1:52.287,1:48.293,1:46.218,1:47.492,1:48.283,1:46.670,1:46.142,1:47.501,1:45.361,1:43.618,1:42.886,1:43.816,1:44.972,1:44.666,1:45.038,1:50.024,2:01.050,2:13.456,1:59.634,2:08.452,2:43.245,2:38.795,1:50.985,1:50.012,1:49.745,1:49.554,1:48.564,1:48.803,1:49.852,1:50.075,1:50.809,1:50.562,1:51.079,1:52.665,1:57.789,2:10.195,1:48.292,1:47.509,1:49.499,1:47.103,1:47.042,1:47.082,1:47.469,1:48.255,1:48.779,1:49.036,1:51.217,1:54.946,1:51.295,1:52.184,1:52.752,1:52.501,1:53.993
Mark Webber (WEB),1:59.208,2:42.243,2:39.050,1:54.335,1:55.067,1:57.011,2:09.996,1:47.957,1:47.134,1:47.176,1:47.613,1:46.113,1:43.527,1:42.609,1:43.682,1:44.321,1:44.142,1:47.011,2:00.472,2:13.921,1:53.244,2:12.650,1:59.562,1:58.161,2:30.696,1:57.258,1:53.816,1:52.075,1:51.995,1:52.751,1:52.545,1:51.894,1:52.470,1:53.015,1:58.805,2:10.252,1:48.410,1:50.481,1:47.850,1:47.960,1:47.913,1:49.126,1:49.682,1:49.590,1:49.729,1:50.407,1:50.547,1:51.085,1:52.056,1:52.171,1:52.839,1:52.476,1:53.256,1:54.746,1:54.982,1:55.252
Adrian Sutil (SUT),2:11.583,2:46.760,2:19.915,1:53.248,1:53.721,1:58.427,2:08.367,1:48.708,1:47.104,1:48.170,1:49.744,1:47.940,1:45.238,1:44.364,1:46.225,1:46.158,1:47.066,1:50.330,2:04.943,2:11.345,1:52.128,2:00.474,1:58.427,1:59.117,2:26.520,1:55.137,1:51.986,1:52.041,1:52.303,1:53.390,1:52.889,1:52.341,1:52.970,1:53.388,1:53.407,1:53.620,1:54.618,1:59.856,2:14.774,1:49.678,1:49.852,1:50.232,1:49.212,1:48.819,1:49.256,1:50.028,1:49.382,1:50.322,1:51.024,1:50.714,1:52.040,1:51.853,1:52.611,1:52.456,1:53.530,1:55.286
Jarno Trulli (TRU),2:10.891,2:49.057,2:28.606,1:59.016,1:57.312,1:57.258,1:57.824,1:56.310,1:54.151,1:54.093,1:55.103,1:56.514,2:10.365,1:49.675,1:51.198,1:52.406,2:34.543,14:14.416,2:03.880,1:57.541,2:02.324,2:05.912,1:54.231,1:55.107,1:55.607,2:05.415
Felipe Massa (MAS),2:02.854,2:50.640,2:28.102,1:53.829,1:55.773,2:01.895,2:10.585,1:49.703,1:47.469,1:47.907,1:47.949,1:45.127,1:45.646,1:44.594,1:45.526,1:45.672,1:45.578,1:47.385,2:04.151,2:19.447,1:58.163,1:59.770,1:53.516,1:55.186,2:20.703,1:56.861,1:53.133,1:52.349,1:51.917,1:52.650,1:51.637,1:52.018,1:52.732,1:53.389,1:53.313,1:53.688,1:54.379,1:59.642,2:10.623,1:48.837,1:49.588,1:49.181,1:49.348,1:50.626,1:51.607,1:49.167,1:48.761,1:49.620,1:50.009,1:50.479,1:50.519,1:50.835,1:55.054,1:52.750,1:53.493,1:54.584
Robert Kubica (KUB),2:06.642,2:45.622,2:22.756,1:53.507,1:48.244,1:45.936,1:47.401,1:47.986,1:48.259,1:46.335,1:48.044,1:46.466,1:44.256,1:43.630,1:44.017,1:45.183,1:44.721,1:45.313,1:50.030,2:02.784,2:11.977,2:03.597,2:01.448,2:43.381,2:36.182,1:52.726,1:50.840,1:50.454,1:50.727,1:50.748,1:51.727,1:50.485,1:51.167,1:51.450,1:52.068,1:52.431,1:57.309,2:13.764,1:50.134,1:49.625,1:49.117,1:48.972,1:49.201,1:48.480,1:48.644,1:48.815,1:48.938,1:49.855,1:50.551,1:50.823,1:51.034,1:51.714,1:51.610,1:51.881,1:52.511,1:52.858
Heikki Kovalainen (KOV),2:11.355,2:44.861,2:21.834,1:59.813,1:54.086,1:52.869,1:53.502,1:54.370,1:52.121,1:52.171,1:53.711,1:49.931,1:49.970,1:47.141,1:48.892,1:48.896,1:48.776,1:54.748,2:08.649,2:18.291,1:59.549,1:59.815,1:56.471,1:56.248,1:55.756,1:56.850,1:56.661,1:57.897,1:59.286,1:55.750,1:54.797,1:54.764,1:55.136,1:55.428,1:57.451,2:01.750,2:20.619,1:54.481,1:54.523,1:55.121,1:55.780,1:55.040,1:53.003,1:58.412,1:53.160,1:51.842,1:51.888,1:52.433,1:56.608,1:53.307,1:52.764,1:56.610,1:57.847,1:57.825,2:01.601
Fernando Alonso (ALO),1:58.576,2:41.860,2:37.429,1:52.873,1:59.432,2:07.570,2:11.699,1:48.902,1:47.074,1:46.649,1:46.413,1:44.797,1:45.627,1:44.134,1:46.206,1:46.025,1:45.606,1:47.354,2:01.004,2:12.012,1:57.770,1:59.737,1:56.839,1:56.113,2:24.593,1:55.283,1:51.966,1:52.106,1:51.308,1:49.348,1:49.965,1:49.987,1:51.387,1:50.836,1:50.973,1:51.531,1:51.666,1:56.147,2:09.452,1:49.117,1:49.337,1:48.946,1:48.331,1:47.787,1:47.772,1:47.688,1:47.763,1:48.578,1:48.817,1:50.595,1:50.665,1:51.498,1:52.772,1:50.820,1:51.633,1:53.664
Nico Rosberg (ROS),2:00.905,2:45.135,2:28.126,1:51.312,1:48.083,1:45.801,1:46.693,1:47.692,1:47.286,1:46.033,1:47.512,1:45.313,1:43.726,1:43.245,1:44.035,1:44.779,1:43.700,1:43.931,1:55.338,2:04.651,2:13.370,2:02.903,2:02.570,2:43.311,2:37.383,1:52.123,1:49.579,1:49.762,1:49.666,1:49.521,1:49.389,1:50.166,1:50.379,1:51.485,1:52.286,1:52.652,1:52.516,1:59.120,2:10.764,1:48.623,1:48.960,1:50.087,1:49.688,1:49.203,1:49.050,1:47.665,1:47.970,1:48.401,1:49.205,1:50.283,1:50.701,1:51.521,1:51.161,1:51.960,1:52.399,1:52.529
Lewis Hamilton (HAM),2:02.304,2:53.974,2:26.749,1:53.958,2:01.456,2:11.298,1:48.629,1:47.032,1:46.049,1:46.041,1:47.109,1:43.276,1:42.061,1:43.192,1:45.287,1:45.552,1:43.108,1:44.126,1:54.905,2:08.243,2:12.573,2:12.389,1:59.540,1:57.960,2:28.946,1:53.301,1:50.675,1:48.730,1:49.845,1:48.779,1:48.607,1:49.170,1:50.035,1:50.791,1:52.054,1:53.238,1:57.261,2:10.953,1:47.269,1:48.363,1:47.968,1:48.340,1:47.502,1:48.191,1:47.370,1:48.058,1:49.439,1:50.078,1:51.488,1:50.380,1:51.125,1:51.057,1:50.976,1:51.591,1:52.382,1:52.920
