Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Valtteri Bottas (BOT),1:54.421,1:51.171,1:50.746,1:50.998,1:50.399,1:50.413,1:50.369,1:50.476,1:51.340,1:50.961,1:50.730,1:50.789,1:54.847,2:02.728,1:48.676,1:48.830,1:48.834,1:49.520,1:49.045,1:49.176,1:49.241,1:49.066,1:48.616,1:49.202,1:49.507,1:49.250,1:49.326,1:49.359,1:49.927,2:26.536,2:43.813,3:19.126,3:10.150,1:50.342,1:47.995,1:47.841,1:47.721,1:48.312,1:48.193,1:47.801,1:48.359,1:48.181,1:48.206,1:48.737
Daniel Ricciardo (RIC),1:56.278,1:52.224,1:51.541,1:51.496,1:51.267,1:51.288,1:51.396,1:51.582,1:52.521,1:51.333,1:51.079,1:50.993,1:51.023,1:55.119,2:02.983,1:48.997,1:49.305,1:49.672,1:49.476,1:49.295,1:49.148,1:49.298,1:49.346,1:49.048,1:49.305,1:48.896,1:49.652,1:49.398,1:48.739,2:28.584,2:43.427,3:04.414,3:09.684,1:48.356,1:47.720,1:47.700,1:47.575,1:47.791,1:47.957,1:47.819,1:47.622,1:47.669,1:48.046,1:47.549
Sergio Pérez (PER),1:59.492,1:54.614,1:53.127,1:53.655,1:52.022,1:52.026,1:52.217,1:52.484,1:52.932,1:53.207,1:52.362,1:56.333,2:05.102,1:50.788,1:50.509,1:52.097,1:50.705,1:51.637,1:51.102,1:51.369,1:52.759,1:51.070,1:50.671,1:50.842,1:55.327,2:07.369,1:48.300,1:49.686,2:39.505,2:39.950,1:53.636,2:02.131,3:02.981,1:52.325,1:51.757,1:51.515,1:51.495,1:51.765,1:53.106,1:51.931,1:53.124,2:07.779
Nico Hülkenberg (HUL),1:57.591,1:54.504,1:51.617,1:52.086,1:51.860,1:51.810,1:51.955,1:52.331,1:52.299,1:52.468,1:56.448,2:06.086,1:51.027,1:51.364,1:51.180,1:50.971,1:50.739,1:51.007,1:51.139,1:51.062,1:50.862,1:51.359,1:50.945,1:50.922,1:51.649,1:50.860,1:50.800,1:50.924,2:01.909,2:40.972,1:55.978,2:53.922,3:08.160,1:50.229,1:49.168,1:49.020,1:49.117,1:49.168,1:48.922,1:49.202,1:49.240,1:49.141,1:49.225,1:49.669
Romain Grosjean (GRO),2:00.268,1:54.622,1:53.794,1:53.366,1:53.165,1:52.047,1:52.456,1:52.511,1:52.868,1:56.600,2:04.350,1:51.853,1:51.357,1:52.705,1:51.789,1:51.854,1:51.494,1:52.452,1:53.476,1:51.527,1:51.295,1:51.387,1:50.949,1:51.025,1:51.084,1:51.014,1:51.211,1:50.992,2:07.366,2:43.667,2:00.291,2:27.514,3:07.295,1:50.239,1:49.391,1:49.575,1:49.087,1:49.472,1:49.348,1:49.253,1:49.189,1:49.598,1:49.603,1:49.974
Sebastian Vettel (VET),1:53.283,1:50.613,1:50.450,1:50.439,1:50.004,1:50.087,1:50.133,1:50.016,1:50.601,1:49.911,1:50.317,1:50.264,1:50.022,1:54.088,2:02.673,1:49.157,1:48.917,1:49.238,1:49.135,1:49.250,1:49.083,1:49.417,1:49.199,1:48.938,1:49.229,1:49.220,1:49.298,1:49.170,1:49.176,2:20.929,2:54.748,3:19.157,3:10.629,1:48.157,1:47.043,1:47.233,1:46.654,1:47.152,1:47.333,1:46.815,1:46.577,1:47.023,1:47.148,1:47.252
Felipe Massa (MAS),2:01.818,1:54.386,1:54.205,1:54.156,1:53.463,1:52.993,1:53.233,1:53.355,1:53.677,1:52.934,1:57.281,2:04.570,1:51.231,1:52.420,1:51.471,1:52.006,1:51.325,1:52.169,1:51.948,1:51.551,1:52.121,1:51.862,1:51.598,1:51.382,1:51.259,1:51.695,1:51.412,1:51.367,2:10.789,2:42.290,2:00.427,2:17.068,3:06.579,1:50.777,1:49.701,1:49.903,1:49.637,1:49.839,1:49.715,1:49.926,1:50.155,1:50.146,1:49.806,1:49.823
Kimi Räikkönen (RAI),1:54.895,1:51.373,1:51.165,1:51.071,1:50.877,1:50.960,1:50.961,1:51.091,1:51.033,1:51.168,1:51.033,1:51.068,1:51.361,1:51.765,1:56.635,2:02.532,1:53.461,2:10.919,1:51.010,1:49.825,1:49.751,1:49.590,1:50.308,1:50.403,1:48.950,1:49.717,1:49.348,1:49.323,1:54.229,2:45.024,2:02.895,2:55.824,3:08.586,1:48.737,1:48.061,1:47.730,1:47.730,1:47.901,1:48.137,1:47.772,1:48.365,1:47.855,1:48.288,1:48.564
Fernando Alonso (ALO),1:57.694,1:53.884,1:53.933,1:54.678,1:54.316,1:53.995,1:53.131,1:53.500,1:53.407,1:57.835,2:06.505,1:51.720,1:51.739,1:52.349,1:53.547,1:52.588,1:52.700,1:52.729,1:52.525,1:52.214,1:52.336,1:52.290,1:52.240,1:54.219,2:14.670
Lewis Hamilton (HAM),1:52.331,1:50.618,1:50.328,1:49.926,1:49.961,1:49.990,1:50.164,1:50.045,1:50.611,1:49.958,1:50.149,1:54.585,2:02.346,1:49.414,1:50.380,1:50.303,1:48.920,1:48.677,1:49.333,1:49.290,1:48.974,1:49.054,1:49.201,1:49.286,1:49.010,1:49.092,1:49.154,1:49.144,1:49.131,2:22.440,2:53.863,3:19.349,3:11.400,1:47.698,1:46.603,1:47.033,1:46.729,1:47.474,1:47.100,1:46.807,1:46.678,1:46.715,1:46.939,1:46.617
