Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Narain Karthikeyan (KAR),1:54.675,1:46.807,1:44.152,1:43.738,1:43.113,1:44.061,1:44.061,1:42.872,1:42.768,1:42.419,1:42.437,1:42.950,1:43.449,1:42.945,1:42.749,1:40.169,2:04.504,1:42.441,1:45.588,1:41.374,1:42.068,1:41.101,1:43.150,1:42.094,1:41.750,1:44.047,1:40.972,1:46.083,1:41.222,1:42.173,1:42.820,1:41.221,1:40.416,1:42.606,1:38.373,2:00.302,1:39.272,1:39.516,1:39.061,1:38.480,1:39.046,1:38.462,1:38.912,1:41.075,1:39.711,1:40.872,1:40.144,1:38.823,1:39.884,1:38.339
Pedro de la Rosa (DLR),1:54.364,1:45.375,1:43.893,1:43.450,1:43.462,1:43.075,1:42.765,1:43.065,1:42.635,1:42.490,1:41.989,1:43.892,1:42.613,1:44.193,1:42.164,1:41.938,1:41.896,1:41.542,1:42.243,1:42.069,1:42.166,1:42.000,1:42.486,1:43.560,1:42.612,1:43.858,1:41.045,2:02.053,1:41.583,1:40.456,1:42.822,1:40.438,1:40.184,1:41.992,1:40.592,1:40.798,1:42.288,1:41.632,1:40.423,1:40.230,1:40.067,1:39.724,1:39.871,1:39.618,1:39.715,1:40.141,1:39.894,1:41.952,1:41.907,1:41.493
Michael Schumacher (MSC),1:44.970,1:41.114,1:40.890,1:40.492,1:39.898,1:40.467,1:40.902,1:40.279,1:40.181,1:40.088,1:40.557,1:37.353,1:57.720,1:39.368,1:39.036,1:39.133,1:38.943,1:38.752,1:38.750,1:38.602,1:38.761,1:38.437,1:38.339,1:40.175,1:38.219,1:38.286,1:38.898,1:38.241,1:38.354,1:38.566,1:37.984,1:38.221,1:38.722,1:36.484,1:54.041,1:35.985,1:36.200,1:36.875,1:36.677,1:36.435,1:35.749,1:35.903,1:35.586,1:35.644,1:36.121,1:35.975,1:35.934,1:35.728,1:35.784,1:35.685,1:35.746,1:35.191
Sebastian Vettel (VET),1:46.371,1:40.820,1:41.514,1:39.955,1:40.197,1:40.009,1:40.906,1:40.419,1:40.332,1:37.773,1:56.197,1:38.273,1:39.215,1:39.084,1:39.326,1:38.230,1:38.011,1:38.196,1:38.043,1:38.037,1:38.114,1:37.794,1:37.640,1:37.905,1:37.485,1:37.712,1:37.675,1:37.668,1:37.635,1:37.249,1:35.176,1:54.252,1:36.357,1:36.869,1:36.577,1:36.538,1:36.798,1:35.944,1:36.075,1:36.039,1:36.303,1:35.834,1:35.959,1:35.906,1:35.750,1:35.982,1:35.667,1:35.458,1:35.208,1:35.105,1:35.645,1:34.897
Jenson Button (BUT),1:51.468,1:43.672,1:41.263,1:40.757,1:40.958,1:40.476,1:40.640,1:40.624,1:40.175,1:40.039,1:39.732,1:39.835,1:40.364,1:40.418,1:40.480,1:38.932,1:56.049,1:37.879,1:38.044,1:38.416,1:38.334,1:38.687,1:38.545,1:38.440,1:38.069,1:37.932,1:38.279,1:38.212,1:38.542,1:38.892,1:37.887,1:53.271,1:36.329,1:36.296,1:36.677,1:36.464,1:36.481,1:36.640,1:36.519,1:36.375,1:36.133,1:36.968,1:36.931,1:36.891,1:36.828,1:36.378,1:36.276,1:36.121,1:36.311,1:36.725,1:36.992,1:36.086
Mark Webber (WEB),1:44.377,1:40.978,1:40.451,1:39.913,1:39.932,1:39.706,1:39.913,1:40.249,1:39.640,1:39.307,1:39.384,1:39.170,1:39.752,1:37.855,1:55.784,1:37.498,1:38.180,1:38.314,1:38.416,1:38.504,1:38.169,1:37.979,1:37.540,1:37.665,1:37.684,1:37.505,1:38.175,1:37.313,1:37.072,1:36.971,1:37.089,1:36.938,1:34.629,1:53.928,1:36.132,1:35.954,1:36.279,1:36.137,1:36.469,1:35.977,1:35.949,1:35.986,1:35.682,1:35.870,1:35.836,1:36.569,1:36.292,1:34.953,1:34.934,1:35.230,1:35.281,1:35.778
Felipe Massa (MAS),1:45.524,1:40.872,1:41.894,1:39.749,1:39.865,1:40.287,1:40.992,1:40.182,1:40.241,1:40.036,1:39.526,1:39.106,1:37.673,1:56.728,1:38.677,1:38.931,1:38.219,1:38.135,1:38.104,1:38.382,1:38.156,1:38.053,1:37.739,1:37.783,1:37.974,1:37.765,1:37.536,1:37.367,1:37.356,1:37.483,1:37.435,1:37.502,1:37.588,1:37.485,1:35.133,1:53.446,1:35.970,1:35.725,1:35.836,1:36.138,1:35.623,1:35.692,1:36.372,1:35.604,1:35.740,1:36.123,1:35.458,1:35.552,1:35.111,1:35.041,1:36.415,1:35.483
Timo Glock (GLO),1:53.739,1:44.309,1:44.223,1:42.671,1:42.644,1:42.406,1:42.244,1:42.394,1:42.837,1:42.268,1:41.313,1:43.481,1:42.259,1:41.648,1:41.222,1:41.419,1:41.733,1:39.213,1:59.151,1:40.479,1:40.795,1:41.337,1:42.370,1:40.848,1:41.326,1:40.638,1:40.178,1:40.078,1:41.469,1:41.134,1:40.095,1:39.816,1:41.016,1:40.762,1:39.545,1:40.364,1:40.863,1:37.824,1:58.247,1:38.261,1:39.664,1:38.246,1:39.386,1:40.547,1:38.281,1:37.945,1:38.002,1:37.549,1:37.884,1:37.422,1:39.219
Kimi Räikkönen (RAI),1:47.501,1:41.134,1:40.770,1:40.630,1:39.926,1:39.656,1:40.736,1:40.432,1:40.269,1:40.006,1:39.439,1:39.906,1:37.729,1:57.452,1:39.561,1:38.669,1:38.303,1:38.756,1:38.671,1:38.783,1:38.809,1:38.424,1:37.957,1:37.386,1:37.510,1:37.717,1:37.259,1:36.907,1:36.726,1:37.885,1:37.602,1:37.248,1:36.883,1:35.064,1:54.869,1:35.894,1:36.613,1:36.100,1:36.143,1:35.745,1:35.558,1:35.420,1:35.349,1:35.447,1:35.360,1:35.408,1:35.402,1:35.317,1:34.728,1:34.661,1:36.138,1:35.744
Heikki Kovalainen (KOV),1:54.970,1:43.766,1:41.959,1:42.250,1:41.843,1:42.460,1:41.960,1:41.799,1:41.483,1:41.135,1:41.716,1:40.860,1:59.165,1:39.901,1:39.881,1:39.874,1:39.945,1:40.371,1:40.358,1:40.302,1:39.598,1:40.186,1:40.066,1:40.130,1:39.297,1:39.457,1:39.767,1:39.096,1:37.252,1:58.249,1:38.757,1:39.373,1:40.791,1:39.787,1:38.991,1:38.222,1:38.050,1:38.358,1:40.130,1:40.272,1:40.292,1:39.750,1:39.989,1:40.316,1:38.436,1:38.457,1:38.287,1:41.344,1:38.669,1:39.124,1:42.011
Fernando Alonso (ALO),1:43.773,1:40.924,1:40.256,1:39.941,1:39.398,1:39.255,1:39.820,1:39.490,1:39.243,1:39.217,1:38.518,1:38.765,1:39.099,1:38.866,1:36.875,1:55.402,1:37.689,1:38.467,1:39.065,1:38.149,1:38.103,1:38.092,1:37.700,1:37.732,1:37.042,1:37.342,1:37.719,1:37.551,1:37.319,1:37.364,1:36.842,1:36.885,1:36.762,1:36.584,1:36.703,1:36.509,1:34.739,1:53.345,1:35.966,1:36.459,1:36.357,1:36.186,1:36.807,1:36.791,1:36.585,1:36.723,1:36.221,1:36.323,1:35.385,1:36.086,1:35.609,1:36.305
Nico Rosberg (ROS),1:52.208,1:43.684,1:41.472,1:40.768,1:41.079,1:40.572,1:40.737,1:40.599,1:40.540,1:40.154,1:39.836,1:39.759,1:40.198,1:40.593,1:37.969,1:56.252,1:39.094,1:39.539,1:38.900,1:39.022,1:38.594,1:38.336,1:38.242,1:38.037,1:37.904,1:37.955,1:38.038,1:38.104,1:38.041,1:39.492,1:38.793,1:37.740,1:37.505,1:37.336,1:37.699,1:37.403,1:35.646,2:02.919,1:36.007,1:36.727,1:36.056,1:36.560,1:36.345,1:36.452,1:36.534,1:36.466,1:36.445,1:35.972,1:35.750,1:35.907,1:36.420,1:36.282
Lewis Hamilton (HAM),1:48.413,1:41.476,1:40.519,1:40.770,1:40.444,1:40.082,1:40.412,1:40.076,1:40.040,1:40.253,1:39.649,1:39.200,1:39.905,1:39.063,1:38.504,1:38.472,1:38.338,1:39.180,1:40.518,1:39.204,1:36.945,1:54.493,1:38.043,1:38.204,1:37.884,1:37.900,1:38.252,1:35.490,1:55.083,1:37.612,1:38.117,1:37.852,1:37.283,1:37.403,1:37.792,1:36.998,1:37.172,1:36.883,1:36.803,1:36.716,1:36.449,1:36.642,1:36.464,1:36.173,1:36.445,1:36.235,1:37.783,1:36.595,1:36.791,1:36.593,1:36.674,1:37.464
