Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Romain Grosjean (GRO),1:52.513,1:45.425,1:45.090,1:44.366,1:44.561,1:44.557,1:44.346,1:44.467,1:44.635,1:44.428,1:48.458,1:59.600,1:43.335,1:42.831,1:42.983,1:42.955,1:43.130,1:43.282,1:43.145,1:43.321,1:43.247,1:43.447,1:42.923,1:43.227,1:42.995,1:43.148,1:42.550,1:42.387,1:43.253,1:42.532,1:42.512,1:46.386,2:03.623,1:41.285,1:41.120,1:41.398,1:42.185,1:42.662,1:42.218,1:43.164,1:42.464,1:42.483,1:41.907,1:42.088,1:47.208,1:41.522,1:41.193,1:41.999,1:42.393,1:41.131,1:41.457,1:41.325,1:41.944,1:41.829,1:42.240,1:41.547
Narain Karthikeyan (KAR),1:59.050,1:49.470,1:49.086,1:47.466,1:47.914,1:47.622,1:47.875,1:47.638,1:47.721,1:47.004,1:47.815,1:48.885,1:48.050,1:48.334,1:48.595,1:52.677,2:09.269,1:46.062,1:45.999,1:46.072,1:47.303,1:47.354,1:45.930,1:47.638,1:49.258,1:52.821,1:48.748,1:47.127,1:46.337,1:46.051,1:47.825,1:54.427,2:04.824,1:44.104,1:46.686,1:44.935,1:44.601,1:44.594,1:44.486,1:43.935,1:44.531,1:44.198,1:44.252,1:46.895,1:45.049,1:44.720,1:47.228,1:44.847,1:44.390,1:44.752,1:51.174,1:49.854,1:46.674,1:45.128
Pedro de la Rosa (DLR),1:58.091,1:49.437,1:48.061,1:47.404,1:47.019,1:46.861,1:46.979,1:46.991,1:47.044,1:47.011,1:46.884,1:47.047,1:46.940,1:48.805,1:48.039,1:47.697,1:51.808,2:05.755,1:45.117,1:45.042,1:45.114,1:45.092,1:45.029,1:45.246,1:45.293,1:45.471,1:48.693,1:45.585,1:49.391,1:47.874,1:52.242,2:05.601,1:46.334,1:44.471,1:44.223,1:44.342,1:46.097,1:45.924,1:44.116,1:44.394,1:45.922,1:44.544,1:45.345,1:44.136,1:44.057,1:44.178,1:43.897,1:44.097,1:43.876,1:44.804,1:44.143,1:44.348,1:43.858,1:43.610,1:43.844
Michael Schumacher (MSC),1:46.359,1:44.320,1:44.148,1:44.112,1:44.187,1:44.173,1:44.341,1:44.288,1:44.109,1:44.238,1:44.565,1:48.697
Sebastian Vettel (VET),1:54.438,1:45.568,1:45.130,1:44.786,1:44.897,1:44.657,1:44.437,1:44.484,1:48.756,2:00.491,1:42.732,1:43.178,1:42.952,1:42.775,1:42.987,1:43.180,1:43.502,1:43.410,1:43.431,1:42.978,1:42.915,1:42.954,1:42.981,1:43.142,1:43.634,1:43.076,1:43.077,1:42.884,1:43.167,1:43.937,1:48.259,1:57.749,1:40.601,1:41.035,1:41.399,1:42.576,1:42.860,1:42.887,1:42.267,1:42.414,1:42.746,1:42.148,1:41.798,1:41.942,1:42.065,1:42.162,1:42.281,1:41.651,1:41.376,1:41.302,1:42.399,1:41.914,1:42.111,1:42.734,1:43.117,1:43.083
Jenson Button (BUT),1:47.732,1:44.619,1:44.128,1:43.922,1:43.965,1:44.120,1:44.056,1:44.389,1:44.346,1:44.604,1:48.646,1:58.438,1:42.677,1:42.988,1:42.680,1:43.048,1:42.917,1:42.828,1:42.866,1:42.866,1:42.679,1:42.762,1:42.972,1:46.597,1:58.319,1:41.391,1:41.854,1:42.842,1:41.780,1:42.831,1:41.692,1:40.908,1:41.211,1:41.367,1:41.930,1:42.092,1:41.873,1:42.041,1:46.424,2:03.712,1:42.490,1:42.437,1:41.766,1:42.127,1:41.952,1:42.133,1:42.217,1:41.782,1:41.375,1:41.266,1:41.553,1:40.907,1:41.137,1:40.448,1:40.431,1:40.422
Mark Webber (WEB),1:51.270,1:45.459,1:44.439,1:44.179,1:44.345,1:48.465,1:59.956,1:43.010,1:43.591,1:43.127,1:44.916,1:43.601,1:43.442,1:42.993,1:43.093,1:42.875,1:42.967,1:43.019,1:43.116,1:43.512,1:47.533,1:58.131,1:41.466,1:41.724,1:42.827,1:43.775,1:42.591,1:42.207,1:42.050,1:42.496,1:41.746,1:42.183,1:43.359,1:47.728,1:57.836,1:42.112,1:40.709,1:40.725,1:41.520,1:41.494,1:42.093,1:41.408,1:41.905,1:41.891,1:41.962,1:41.643,1:42.371,1:44.722,1:41.717,1:41.074,1:40.832,1:40.490,1:41.634,1:42.028,1:42.389,1:41.107
Felipe Massa (MAS),1:51.897,1:45.610,1:44.828,1:44.519,1:44.509,1:44.594,1:44.397,1:44.516,1:44.510,1:44.180,1:44.131,1:44.251,1:44.311,1:44.297,1:44.206,1:44.456,1:44.794,1:48.838,1:59.265,1:43.114,1:43.531,1:43.739,1:43.387,1:43.074,1:43.433,1:44.040,1:44.177,1:43.509,1:43.426,1:43.948,1:43.746,1:43.979,1:43.131,1:42.901,1:42.722,1:42.714,1:42.844,1:42.869,1:42.707,1:42.606,1:46.585,1:56.946,1:41.316,1:41.382,1:41.306,1:41.781,1:41.417,1:41.240,1:41.426,1:42.254,1:42.193,1:41.963,1:41.624,1:41.932,1:42.255,1:42.382
Timo Glock (GLO),1:56.348,1:48.256,1:47.206,1:47.700,1:46.654,1:46.591,1:46.884,1:46.291,1:46.338,1:46.522,1:46.129,1:46.898,1:46.249,1:46.190,1:46.374,1:46.473,1:46.697,1:52.392,2:02.373,1:44.544,1:44.362,1:44.402,1:44.100,1:44.160,1:44.199,1:44.386,1:44.316,1:44.402,1:44.384,1:44.574,1:44.290,1:44.718,1:44.750,1:45.124,1:44.922,1:48.906,2:02.161,1:42.924,1:42.978,1:43.056,1:42.748,1:42.993,1:43.080,1:42.944,1:43.215,1:42.885,1:42.934,1:43.132,1:43.063,1:43.164,1:43.152,1:46.693,1:43.778,1:47.977,1:58.173
Kimi Räikkönen (RAI),1:48.600,1:44.458,1:44.161,1:44.008,1:43.769,1:43.996,1:44.183,1:44.206,1:44.431,1:49.019,2:02.763,1:43.324,1:43.703,1:42.951,1:43.045,1:43.464,1:43.035,1:42.790,1:42.980,1:43.147,1:43.413,1:43.053,1:42.752,1:42.837,1:43.038,1:42.927,1:43.079,1:47.450,2:00.779,1:42.531,1:42.519,1:43.296,1:43.161,1:42.923,1:42.729,1:42.836,1:42.683,1:42.918,1:42.838,1:42.444,1:42.799,1:42.096,1:41.794,1:41.885,1:42.073,1:42.228,1:42.293,1:46.707,1:47.379,1:44.086,1:44.479,1:44.268,1:43.165,1:43.243,1:43.114,1:43.654
Heikki Kovalainen (KOV),1:54.941,1:46.993,1:45.674,1:45.897,1:45.408,1:45.275,1:45.793,1:45.581,1:45.276,1:45.656,1:45.216,1:52.903,2:02.217,1:45.613,1:44.322,1:45.004,1:45.348,1:45.317,1:45.091,1:44.515,1:44.266,1:44.153,1:45.115,1:44.523,1:44.570,1:44.462,1:44.491,1:48.639,4:15.723,2:20.359,1:45.315,1:43.313,1:46.811,1:45.506,1:43.841,1:45.660,1:43.282,1:43.326,1:44.081,1:45.548,1:45.606,1:44.066,1:44.445,1:43.900,1:44.261,1:44.526,1:49.884,3:05.164,1:45.358,1:41.466,1:41.334,1:42.321,1:41.190
Fernando Alonso (ALO),1:50.905,1:45.360,1:44.284,1:44.205,1:44.456,1:44.154,1:44.365,1:44.073,1:44.257,1:44.021,1:43.935,1:48.091,1:59.017,1:42.960,1:43.135,1:43.272,1:43.187,1:43.027,1:42.915,1:42.972,1:43.329,1:43.141,1:43.003,1:42.931,1:43.121,1:43.031,1:46.964,1:57.736,1:42.115,1:42.857,1:42.202,1:41.785,1:41.740,1:42.209,1:42.527,1:41.970,1:41.795,1:45.765,1:56.842,1:41.363,1:41.152,1:41.745,1:44.951,1:41.421,1:42.373,1:42.321,1:41.552,1:41.737,1:42.575,1:42.423,1:41.377,1:41.773,1:43.479,1:42.810,1:41.870,1:41.609
Nico Rosberg (ROS),1:45.632,1:43.934,1:43.610,1:43.730,1:43.544,1:43.940,1:43.705,1:43.650,1:43.579,1:43.692,1:43.616,1:43.637,1:48.995,1:59.832,1:42.551,1:42.656,1:42.857,1:42.503,1:42.573,1:42.843,1:42.960,1:43.019,1:42.798,1:42.659,1:43.206,1:42.944,1:43.062,1:43.276,1:43.182,1:43.215,1:43.466,1:43.093,1:43.355,1:47.529,1:57.707,1:41.197,1:41.248,1:41.439,1:41.109,1:40.967,1:41.049,1:41.338,1:41.394,1:41.365,1:41.035,1:41.720,1:41.470,1:41.880,1:41.692,1:41.402,1:41.863,1:41.477,1:41.300,1:41.639,1:41.583,1:42.212
Lewis Hamilton (HAM),1:49.228,1:44.594,1:44.169,1:43.982,1:44.148,1:43.989,1:43.728,1:44.218,1:44.300,1:48.886,2:00.863,1:42.789,1:43.027,1:42.807,1:42.693,1:42.879,1:42.862,1:42.612,1:42.961,1:43.220,1:43.063,1:47.073,1:58.264,1:43.023,1:43.316,1:42.602,1:43.315,1:41.980,1:42.494,1:41.831,1:41.781,1:42.823,1:43.396,1:43.423,1:44.545,1:41.584,1:41.730,1:45.758,1:57.274,1:40.530,1:41.374,1:41.561,1:41.257,1:41.423,1:41.955,1:41.657,1:42.174,1:43.779,1:40.683,1:40.711,1:41.076,1:41.479,1:42.105,1:42.089,1:41.039,1:40.819
