Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Romain Grosjean (GRO),1:54.075,1:48.265,1:47.973,1:47.676,1:47.820,1:47.392,1:47.274,1:46.870,1:47.085,1:47.706,1:47.467,1:47.985,1:52.492,2:02.989,1:45.975,1:45.571,1:45.349,1:46.218,1:48.635,1:44.599,1:45.400,1:45.415,1:45.551,1:45.404,1:45.676,1:44.849,1:44.395,1:44.401,1:44.999,1:45.351,1:49.173,2:00.244,1:43.593,1:43.670,1:44.102,1:43.949,1:43.760,1:44.424,1:44.952,1:46.882,1:43.878,1:45.142,1:43.593,1:42.783,1:42.925,1:42.882,1:43.540,1:43.833,1:44.428,1:43.660,1:43.953,1:44.459,1:43.771,1:44.003,1:45.007
Narain Karthikeyan (KAR),2:01.304,1:52.433,1:52.383,1:51.333,1:52.300,1:51.356,1:51.634,1:50.690,1:50.842,1:50.431,1:51.341,1:50.699,1:50.998,1:51.178,1:51.681,1:51.860,1:52.445,1:56.538,2:12.653,1:49.246,1:49.297,1:48.580,1:51.424,1:48.520,1:50.028,1:50.475,1:53.640,1:48.410,1:48.217,1:47.859,1:50.672,1:50.145,1:49.452,1:48.419,1:47.473,1:47.369,1:47.150,1:47.344,1:47.068,1:47.695,1:47.815,1:49.334,1:47.475,1:50.996,1:48.450,1:47.615,1:48.225,1:49.235,1:50.234,1:50.199,1:53.710,1:52.983,1:53.057
Pedro de la Rosa (DLR),2:01.892,1:52.468,1:50.680,1:50.712,1:50.713,1:51.373,1:50.754,1:50.447,1:49.861,1:50.118,1:50.297,1:50.115,1:50.075,1:51.378,1:51.291,1:57.294
Michael Schumacher (MSC),1:55.187,1:48.955,1:48.338,1:48.342,1:48.373,1:48.242,1:48.046,1:47.754,1:47.670,1:47.439,1:47.896,1:48.588,1:52.102,2:02.388,1:46.346,1:46.046,1:46.435,1:45.925,1:46.568,1:47.408,1:46.760,1:46.817,1:46.763,1:45.659,1:46.650,1:46.020,1:45.577,1:45.596,1:45.062,1:45.540,1:45.806,1:49.654,2:00.575,1:44.788,1:45.412,1:45.503,1:44.880,1:46.547,1:45.670,1:45.111,1:45.982,1:45.774,1:45.168,1:44.604,1:44.941,1:43.430,1:43.726,1:43.590,1:43.184,1:44.353,1:44.277,1:44.188,1:44.477,1:43.930,1:43.830
Sebastian Vettel (VET),1:48.151,1:46.474,1:46.636,1:46.330,1:46.774,1:46.083,1:45.959,1:45.643,1:45.815,1:45.679,1:45.543,1:45.439,1:45.805,1:46.021,1:50.200,2:00.423,1:44.307,1:44.660,1:44.837,1:44.948,1:44.800,1:44.667,1:44.616,1:44.626,1:44.110,1:43.948,1:44.445,1:44.171,1:44.047,1:44.262,1:44.497,1:44.440,1:43.844,1:45.006,1:50.743,1:58.244,1:42.644,1:43.091,1:43.716,1:44.214,1:43.775,1:43.850,1:43.889,1:43.333,1:43.338,1:43.239,1:43.137,1:42.794,1:43.072,1:42.853,1:43.362,1:43.307,1:42.953,1:43.392,1:42.499
Mark Webber (WEB),1:48.887,1:46.698,1:46.598,1:46.737,1:46.682,1:46.226,1:46.052,1:46.056,1:45.971,1:45.623,1:46.245,1:46.140,1:46.365,1:50.888,2:00.554,1:45.404,1:45.295,1:45.158,1:45.111,1:45.351,1:45.366,1:45.211,1:45.324,1:44.860,1:44.597,1:44.483,1:44.027,1:43.761,1:43.861,1:44.198,1:44.500,1:48.950,1:58.837,1:43.567,1:43.457,1:44.467,1:44.131,1:44.381,1:44.136,1:43.900,1:44.214,1:44.289,1:44.334,1:43.756,1:43.454,1:43.261,1:43.073,1:42.835,1:43.376,1:42.538,1:42.612,1:42.574,1:42.611,1:42.037,1:43.863
Felipe Massa (MAS),1:51.883,1:47.464,1:47.124,1:46.889,1:46.751,1:46.879,1:46.427,1:46.381,1:46.412,1:46.045,1:46.179,1:46.843,1:46.546,1:50.509,2:01.185,1:45.097,1:44.722,1:45.086,1:44.804,1:45.875,1:44.622,1:44.845,1:44.457,1:44.577,1:44.345,1:45.013,1:44.120,1:43.820,1:43.718,1:43.837,1:43.907,1:44.256,1:44.201,1:44.361,1:48.930,2:00.862,1:42.689,1:44.264,1:44.144,1:44.989,1:43.395,1:43.830,1:44.096,1:44.086,1:43.162,1:43.392,1:45.059,1:42.242,1:43.510,1:43.085,1:42.602,1:43.272,1:43.217,1:43.741,1:45.072
Timo Glock (GLO),2:00.919,1:51.159,1:49.925,1:50.125,1:49.430,1:49.310,1:49.558,1:49.185,1:49.433,1:49.035,1:49.125,1:48.837,1:49.159,1:54.686,2:05.595,1:48.818,1:47.381,1:47.285,1:47.313,1:47.912,1:47.631,1:47.304,1:47.356,1:46.990,1:46.894,1:46.948,1:46.984,1:46.463,1:47.139,1:48.726,1:51.605,2:03.181,1:45.566,1:46.970,1:47.230,1:46.267,1:46.149,1:46.182,1:45.623,1:45.658,1:45.526,1:45.236,1:45.504,1:46.977,1:46.196,1:46.204,1:46.727,1:47.064,1:47.424,1:46.881,1:47.729,1:50.416,1:48.180,1:51.630
Kimi Räikkönen (RAI),1:52.512,1:47.765,1:47.097,1:47.159,1:46.664,1:46.764,1:46.469,1:46.521,1:46.218,1:46.194,1:46.255,1:46.534,1:46.599,1:50.614,2:01.250,1:45.277,1:46.346,1:44.614,1:45.033,1:45.697,1:45.522,1:45.680,1:46.434,1:46.400,1:45.595,1:46.036,1:44.227,1:43.937,1:44.274,1:44.005,1:44.008,1:44.171,1:44.774,1:45.009,1:49.071,2:01.630,1:44.451,1:44.522,1:44.336,1:44.562,1:44.422,1:46.417,1:44.052,1:43.767,1:43.739,1:43.718,1:43.535,1:42.879,1:42.902,1:43.780,1:42.822,1:43.605,1:43.332,1:42.969,1:43.225
Heikki Kovalainen (KOV),1:59.237,1:50.402,1:49.166,1:49.427,1:48.768,1:48.506,1:49.048,1:48.629,1:48.858,1:48.676,1:49.476,1:49.922,1:55.121,2:05.787,1:47.879,1:47.553,1:48.482,1:47.552,1:47.538,1:47.543,1:47.614,1:47.331,1:47.294,1:47.066,1:46.940,1:47.140,1:46.377,1:46.234,1:46.378,1:46.473,1:47.146,1:47.415,1:56.013,2:03.840,1:49.236,1:46.540,1:46.258,1:46.255,1:45.482,1:45.340,1:45.725,1:45.064,1:44.955,1:45.542,1:46.586,1:44.963,1:45.198,1:46.884,1:45.379,1:48.113,1:46.258,1:48.734,1:47.573,1:51.221
Fernando Alonso (ALO),1:50.317,1:47.025,1:46.796,1:46.539,1:46.894,1:46.732,1:46.412,1:46.210,1:46.254,1:45.851,1:45.952,1:46.129,1:46.062,1:45.908,1:50.346,2:01.547,1:44.745,1:44.997,1:45.139,1:45.248,1:44.990,1:44.879,1:44.635,1:44.566,1:44.634,1:44.556,1:44.378,1:44.215,1:43.960,1:44.137,1:44.166,1:44.318,1:44.274,1:48.586,2:00.427,1:44.184,1:44.197,1:44.064,1:44.202,1:44.369,1:44.048,1:44.110,1:43.977,1:43.952,1:43.161,1:43.750,1:43.646,1:42.500,1:42.498,1:42.592,1:42.497,1:42.442,1:43.320,1:44.297,1:42.965
Nico Rosberg (ROS),1:58.108
Lewis Hamilton (HAM),1:51.045,1:47.483,1:47.229,1:46.713,1:46.786,1:46.799,1:46.359,1:46.313,1:46.280,1:46.029,1:46.410,1:46.239,1:50.451,2:00.753,1:45.389,1:45.735,1:44.836,1:44.977,1:46.163,1:46.633,1:47.091,1:46.279,1:46.730,1:46.158,1:45.771,1:50.364,2:01.808,1:44.768,1:44.851,1:44.766,1:45.399,1:45.707,1:45.608,1:45.089,1:44.858,1:45.990,1:45.982,1:46.368,1:46.121,1:46.634,1:44.079,1:49.064,1:59.131,1:42.929,1:43.359,1:43.296,1:43.987,1:43.021,1:42.721,1:43.114,1:43.668,1:45.126,1:47.382,1:46.654,1:45.848
