Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Pedro de la Rosa (DLR),2:46.165,3:05.777,3:02.706,2:55.676,2:04.424,2:02.280,2:01.846,2:01.463,2:01.263,2:01.290,2:01.848,2:02.054,2:01.457,2:01.382,2:05.521,2:15.134,1:58.500,1:58.765,1:58.919,1:59.478,1:59.553,1:59.576,2:00.026,2:01.429,2:00.506,2:01.064,2:05.393,2:11.046,1:57.648,1:57.315,1:57.844,1:59.032,2:00.666,1:58.320,1:58.265,1:59.021,1:58.484,1:59.850,2:01.679,2:01.058,2:02.046,1:58.736,1:58.528
Michael Schumacher (MSC),2:29.379,3:07.390,3:03.187,3:03.169,2:00.350,1:58.229,1:58.241,1:58.016,1:57.899,1:58.146,1:57.886,1:57.781,1:57.917,1:57.689,1:57.692,1:57.494,1:57.632,1:57.601,2:01.927,2:09.802,1:56.188,1:57.031,1:56.597,1:55.990,1:55.553,1:55.136,1:55.629,1:55.614,1:55.874,1:55.845,1:56.641,1:56.240,1:56.261,1:57.145,1:59.584,2:05.546,1:53.507,1:58.055,1:55.392,1:55.085,1:55.169,1:55.284,1:55.162,1:55.949
Sebastian Vettel (VET),2:39.182,3:05.942,3:02.629,2:58.817,2:00.029,1:59.670,1:58.806,1:58.619,1:58.281,1:58.499,1:58.574,1:57.787,1:58.468,1:57.115,1:56.185,1:56.294,1:56.105,1:56.216,1:57.678,1:56.330,1:59.851,2:06.591,1:55.370,1:54.357,1:54.705,1:54.578,1:54.921,1:54.470,1:54.611,1:54.845,1:54.750,1:54.982,1:54.930,1:54.489,1:54.606,1:54.759,1:54.847,1:54.354,1:54.198,1:55.477,1:54.575,1:54.687,1:54.688,1:55.287
Jenson Button (BUT),2:26.028,3:07.770,3:02.673,3:04.553,1:57.091,1:57.479,1:57.408,1:57.432,1:57.401,1:57.566,1:57.356,1:57.123,1:56.813,1:56.923,1:56.979,1:56.879,1:56.638,1:56.857,1:56.643,2:00.517,2:05.305,1:54.917,1:55.186,1:54.828,1:55.316,1:55.343,1:55.178,1:55.598,1:55.753,1:55.193,1:54.744,1:55.110,1:55.209,1:54.856,1:54.335,1:54.697,1:54.855,1:54.716,1:55.026,1:54.293,1:54.557,1:54.611,1:54.612,1:56.163
Mark Webber (WEB),2:34.265,3:06.168,3:03.369,3:01.373,2:00.687,1:59.612,1:58.526,1:59.146,1:59.423,1:58.549,2:02.297,2:09.684,1:55.903,1:56.770,1:55.797,1:56.559,1:56.201,1:55.959,1:55.671,1:55.666,1:55.480,1:55.852,1:55.526,1:55.447,1:55.466,1:55.705,1:59.790,2:05.383,1:54.220,1:54.537,1:55.389,1:56.569,1:56.220,1:56.724,1:55.928,1:55.639,1:54.084,1:55.160,1:54.480,1:54.029,1:53.784,1:53.768,1:54.316,1:54.653
Felipe Massa (MAS),2:37.957,3:05.415,3:02.260,3:00.675,2:00.027,1:59.546,1:59.791,1:58.602,1:58.764,1:58.743,1:58.723,2:01.087,2:08.169,1:56.558,1:57.662,1:56.237,1:57.916,1:55.979,1:55.950,1:56.203,1:55.435,1:55.394,1:56.404,1:56.208,1:55.665,1:55.907,1:59.113,2:09.383,1:54.359,1:53.464,1:54.049,1:54.018,1:53.985,1:55.150,1:55.632,1:54.267,1:53.938,1:55.758,1:54.082,1:53.774,1:53.752,1:53.801,1:53.835,1:54.738
Timo Glock (GLO),2:45.030,3:04.548,3:02.591,2:56.667,2:08.260,2:01.247,2:02.060,2:01.207,2:01.338,2:01.321,2:05.095,2:14.000,1:59.303,1:59.363,1:59.153,1:58.783,1:59.029,2:00.849,1:59.257,1:59.381,1:59.327,1:59.563,1:59.620,1:59.469,2:03.389,2:12.735,1:59.729,1:57.504,1:57.109,1:56.956,1:57.245,1:57.339,1:58.433,1:57.829,1:58.732,1:59.858,2:02.470,1:58.351,1:57.758,1:57.665,1:58.096,1:58.036,1:58.705
Kimi Räikkönen (RAI),2:26.728,3:07.696,3:03.134,3:04.219,2:00.289,1:58.556,1:58.286,1:57.980,1:57.741,1:58.555,2:03.522,2:07.892,1:55.872,1:58.221,1:55.950,1:56.494,1:55.945,1:56.054,1:55.965,1:56.031,1:55.919,1:55.829,1:55.733,1:55.847,1:55.633,1:55.737,1:56.107,1:59.632,2:06.326,1:55.362,1:56.032,1:56.707,1:56.301,1:53.640,1:54.065,1:53.927,1:55.370,1:54.138,1:54.229,1:54.398,1:54.322,1:54.283,1:54.405,1:54.792
Heikki Kovalainen (KOV),2:37.127,3:05.840,3:02.257,3:00.663,2:03.246,2:06.416,2:02.043,2:00.531,2:00.648,1:59.632,1:59.930,2:00.133,2:00.109,2:05.317,2:43.705,1:58.611,1:58.749,1:58.722,1:58.679,1:58.236,1:58.528,1:58.195,1:58.187,1:58.308,1:58.626,1:59.567,2:04.010,2:10.905,1:57.619,2:02.189,1:57.425,1:58.577,1:56.475,1:56.896,1:57.989,1:58.988,1:58.205,1:57.310,2:05.085,2:00.058,1:58.708,1:59.694,1:57.263
Nico Rosberg (ROS),2:40.148,3:05.713,3:02.631,2:58.665,2:00.976,1:59.784,1:59.406,1:59.220,1:58.791,1:58.926,1:58.860,1:58.390,1:58.210,1:58.635,1:59.460,2:00.731,1:59.389,1:59.565,1:59.072,2:02.122,2:08.300,1:54.660,1:56.186,1:55.506,1:55.770,1:55.716,1:55.537,1:55.596,1:55.625,1:55.820,1:56.187,1:56.035,1:56.189,1:57.414,1:56.325,2:01.773,2:06.275,1:53.103,1:53.073,1:53.648,1:54.829,1:53.961,1:53.926,1:53.493
