Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Narain Karthikeyan (KAR),2:05.378,1:56.141,1:53.706,1:53.027,1:52.720,1:52.238,1:52.675
Pedro de la Rosa (DLR),2:13.728,1:53.032,1:52.823,1:52.898,1:52.472,1:52.452,1:52.671,1:54.872,2:16.837,2:08.095,2:37.904,2:42.890,2:35.205,2:29.705,1:55.380,1:53.038,1:51.902,1:51.516,1:51.844,1:51.610,1:51.983,1:51.251,1:51.358,1:51.274,1:51.041,1:51.056,1:51.123,1:52.343,2:11.344,1:49.707,1:49.733,1:49.615,1:49.833,1:49.722,1:49.218,1:49.335,1:49.219,2:06.380,2:17.252,1:59.549,1:50.981,2:03.500,1:50.517,1:49.710,1:49.920,1:49.091,1:48.619,1:48.774,1:48.676,1:48.923,1:49.815,1:51.003,1:48.935,1:49.775,1:48.996
Michael Schumacher (MSC),1:59.978,1:51.402,1:50.572,1:50.305,1:50.309,1:49.944,1:49.604,1:49.725,2:09.742,2:36.871,2:40.165,2:42.523,2:37.141,2:31.134,1:51.041,1:50.009,1:49.067,1:49.385,1:50.506,1:48.696,1:48.888,1:48.769,1:48.589,1:49.111,1:49.879,1:49.324,1:50.730,2:06.281,1:47.362,1:47.505,1:47.309,1:47.459,1:47.590,1:47.528,1:47.509,1:47.411,1:46.848,1:48.176,2:14.124,2:13.842,2:25.381,2:38.299,1:47.475,1:47.287,1:45.990,1:46.546,1:46.632,1:47.536,1:45.868,1:45.477,1:45.225,1:45.560,1:45.281,1:45.587,1:46.245
Sebastian Vettel (VET),2:06.774,1:53.370,1:51.468,1:50.161,1:49.522,1:49.220,1:48.812,1:48.778,2:12.712,2:29.450,2:40.733,2:42.100,2:35.975,2:37.771,1:51.620,1:50.483,1:50.802,1:48.054,1:48.001,1:47.852,1:47.966,1:47.738,1:47.323,1:47.474,1:47.519,1:47.417,1:47.053,1:47.167,1:47.978,1:47.724,1:46.755,1:47.099,1:46.690,1:46.938,1:46.956,1:46.593,1:48.120,2:04.260,2:11.756,2:15.844,2:35.182,2:31.404,1:46.659,1:46.407,1:45.545,1:45.933,1:45.135,1:45.204,1:45.272,1:44.689,1:44.548,1:44.420,1:44.328,1:43.964,1:44.112
Jenson Button (BUT),1:56.501,1:51.024,1:49.812,1:49.569,1:49.700,1:49.221,1:49.308,1:49.020,2:11.950,2:38.377,2:40.796,2:41.476,2:37.781,2:32.400,1:50.749,1:48.918,1:48.197,1:48.106,1:48.078,1:48.189,1:48.469,1:49.394,1:48.704,1:47.788,1:47.425,1:47.247,1:47.214,1:47.598,1:48.728,2:04.777,1:46.495,1:46.784,1:46.483,1:46.592,1:46.471,1:46.313,1:46.077,1:46.144,2:11.897,2:29.164,2:35.172,2:31.982,1:46.594,1:46.271,1:45.747,1:45.530,1:45.170,1:45.190,1:45.293,1:44.533,1:44.604,1:46.594,1:44.881,1:44.924,1:45.033
Mark Webber (WEB),1:55.889,1:50.688,1:49.854,1:49.661,1:49.486,1:49.204,1:48.867,1:49.016,2:10.614,2:40.242,2:40.757,2:41.534,2:38.223,2:32.429,1:50.488,1:48.624,1:48.101,1:48.279,1:47.942,1:48.418,1:48.659,1:49.354,1:54.147,1:48.369,1:48.429,1:48.560,1:47.374,1:47.645,1:49.797,1:49.204,2:05.435,1:46.959,1:47.330,1:47.650,1:47.940,1:47.679,1:47.745
Felipe Massa (MAS),1:57.149,1:51.216,1:50.051,1:49.797,1:49.595,1:49.218,1:49.408,1:49.211,2:11.937,2:37.416,2:40.979,2:41.500,2:37.825,2:32.377,1:50.696,1:49.591,1:48.537,1:48.583,1:48.261,1:48.472,1:48.399,1:48.454,1:48.837,1:50.542,1:48.651,2:00.720,2:06.563,1:47.355,1:47.161,1:47.226,1:47.386,1:47.287,1:47.331,1:47.457,1:47.459,1:47.426,1:47.059,1:48.095,2:15.606,2:14.445,2:22.026,2:31.612,1:47.800,1:47.031,1:46.608,1:46.626,1:46.625,1:46.042,1:46.101,1:46.125,1:45.824,1:45.825,1:45.700,1:46.122,1:46.218
Timo Glock (GLO),2:02.891,1:55.106,1:52.422,1:53.274,1:51.957,1:51.755,1:52.765,1:52.311,2:16.221,2:18.659,2:37.825,2:42.609,2:35.656,2:29.481,1:53.299,1:51.509,1:50.967,1:51.687,1:52.132,1:51.321,1:51.175,1:51.092,1:50.537,1:50.478,1:50.512,1:50.376,1:52.341,2:08.729,1:49.151,1:48.950,1:48.768,1:48.980,1:48.754,1:48.587,1:48.376,1:48.695,1:48.994,1:58.453,2:15.741,1:56.502,1:54.709,2:31.302,1:51.037,1:48.890,1:48.316,1:48.129,1:48.585,1:48.656,1:48.364,1:47.998,1:48.175,1:47.811,1:47.880,1:47.661,1:48.589
Kimi Räikkönen (RAI),1:53.050,1:51.218,1:49.876,1:48.985,1:48.971,1:48.964,1:48.644,1:48.481,2:08.606,2:44.519,2:41.004,2:41.251,2:38.078,2:33.133,1:48.692,1:48.102,1:47.794,1:47.734,1:47.615,1:47.694,1:47.518,1:47.319,1:47.238,1:47.238,1:47.341,1:47.199,1:47.205,1:47.095,1:47.580,1:47.621,1:49.410,2:06.245,1:46.055,1:46.247,1:46.103,1:46.123,1:45.870,1:46.210,2:06.281,2:42.390,2:36.299,2:31.484,1:45.403,1:45.433,1:45.429,1:44.963,1:45.044,1:44.823,1:44.968,1:44.458,1:44.875,1:44.685,1:44.493,1:44.559,1:45.052
Heikki Kovalainen (KOV),2:03.203,1:52.388,1:51.208,1:51.217,1:51.033,1:50.806,1:51.120,1:50.725,2:14.741,2:25.635,2:40.067,2:42.642,2:35.536,2:30.398,1:51.873,1:50.674,1:50.077,1:49.963,1:51.479,1:50.750,1:50.759,1:50.739,1:50.802,1:49.808,1:49.766,1:49.692,1:49.386,1:51.116,2:11.536,1:48.944,1:48.459,1:48.747,1:48.671,1:48.445,1:48.455,1:48.472,1:48.418,1:54.115,2:14.344,1:52.693,2:13.066,2:31.255,1:49.883,1:49.606,1:48.041,1:47.940,1:47.712,1:47.751,1:47.548,1:47.313,1:47.115,1:47.611,1:47.414,1:48.153,1:47.121
Fernando Alonso (ALO),1:55.192,1:50.532,1:49.983,1:49.521,1:49.403,1:49.023,1:48.945,1:49.276,2:09.515,2:41.265,2:40.991,2:41.483,2:37.974,2:33.298,1:49.865,1:48.502,1:48.023,1:48.259,1:48.313,1:48.374,1:47.679,1:47.625,1:47.698,1:47.726,1:47.469,1:47.589,1:47.661,1:50.021,2:06.690,1:47.525,1:46.726,1:46.699,1:46.556,1:46.637,1:46.458,1:46.278,1:46.097,1:45.881,2:06.803,2:34.730,2:35.300,2:31.851,1:46.389,1:46.056,1:45.880,1:45.197,1:44.816,1:44.631,1:44.357,1:44.270,1:44.598,1:44.418,1:44.090,1:44.727,1:44.654
Nico Rosberg (ROS),2:00.945,2:18.242,1:49.572,1:49.340,1:49.413,1:50.220,1:50.227
Lewis Hamilton (HAM),1:51.642,1:51.728,1:48.809,1:48.552,1:48.833,1:48.425,1:48.148,1:48.213,2:11.572,2:44.620,2:40.880,2:41.387,2:38.037,2:33.128,1:47.886,1:47.384,1:47.432,1:47.333,1:47.266
