Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Narain Karthikeyan (KAR),2:20.953,2:13.354,2:16.057,2:15.986,2:17.219,2:30.974,2:34.231,3:02.648,52:15.529,2:53.305,2:48.322,2:43.490,2:49.921,2:20.849,2:18.175,2:44.686,2:08.851,2:09.002,2:08.612,2:08.752,2:07.323,2:07.309,2:07.536,2:07.432,2:06.678,2:06.690,2:06.916,2:05.844,2:04.841,2:06.369,2:05.150,2:07.270,2:02.825,2:04.178,2:03.167,2:01.793,2:04.111,2:25.451,1:53.515,1:50.591,1:49.419,1:48.385,1:50.974,1:49.109,1:54.930,1:48.310,1:51.650,1:50.370,1:47.571,1:46.458,1:46.329,1:45.909,1:46.024,1:48.336
Pedro de la Rosa (DLR),2:25.229,2:13.395,2:16.224,2:19.227,2:20.220,2:29.412,2:33.718,3:01.628,52:14.037,2:54.078,2:49.782,2:41.511,2:52.134,2:24.446,2:16.056,2:18.126,2:44.394,2:08.269,2:08.428,2:07.403,2:06.805,2:06.224,2:05.797,2:07.279,2:06.644,2:04.776,2:06.341,2:05.424,2:05.990,2:03.537,2:04.340,2:04.225,2:03.579,2:02.111,2:01.431,2:01.619,2:01.541,2:00.069,2:05.019,2:24.769,1:49.127,1:49.620,1:50.066,1:48.714,1:50.591,1:52.207,1:47.853,1:46.564,1:47.004,1:47.216,1:46.739,1:49.216,1:46.491,1:46.244
Michael Schumacher (MSC),2:15.867,2:09.342,2:12.049,2:13.977,2:22.835,2:47.463,2:33.235,3:02.990,52:13.005,2:54.390,2:48.155,2:42.653,2:47.525,2:14.153,2:26.894,2:06.063,2:05.248,2:04.333,2:03.748,2:03.239,2:02.894,2:02.685,2:03.266,2:03.124,2:03.474,2:02.242,2:01.856,2:00.970,2:00.154,2:00.766,1:59.954,1:59.438,1:58.353,1:57.657,1:56.598,1:56.324,1:55.843,1:55.203,1:58.968,2:07.022,1:46.546,1:44.735,1:44.776,1:43.663,1:43.763,1:43.139,1:42.847,1:42.458,1:42.283,1:41.975,1:42.245,1:42.061,1:41.760,1:41.802,1:41.897,1:41.903
Sebastian Vettel (VET),2:06.725,2:06.856,2:10.650,2:13.699,2:23.382,2:39.096,2:41.803,3:02.702,52:16.891,2:54.214,2:46.730,2:45.285,2:51.127,2:08.815,2:09.483,2:25.914,2:03.578,2:03.509,2:03.402,2:02.989,2:02.323,2:02.765,2:00.951,2:01.203,2:00.681,2:00.416,2:00.221,1:59.573,1:58.990,1:58.571,1:58.269,1:56.964,1:56.613,1:56.233,1:55.997,1:55.611,1:55.291,1:54.447,1:54.505,1:58.037,2:07.716,1:45.323,1:43.825,1:43.105,1:42.529,1:41.927,2:05.672,2:06.567,1:42.052,1:41.342,1:42.551,1:42.069,1:43.916,1:46.767,1:44.359,1:43.108
Jenson Button (BUT),2:04.743,2:05.677,2:08.213,2:16.303,2:31.560,2:14.920,2:56.697,3:02.971,52:17.014,2:53.619,2:47.580,2:45.914,2:56.162,2:25.698,2:14.083,2:35.071,2:00.936,2:02.008,2:02.586,2:03.324,2:03.047,2:02.372,2:03.261,2:04.808,2:17.223,1:58.329,1:58.284,1:58.091,1:58.178,1:58.095,1:59.018,1:57.402,1:59.064,1:59.958,1:56.410,1:56.084,1:56.167,1:54.476,1:58.014,2:10.173,1:47.070,1:45.968,1:44.842,1:44.889,1:44.126,1:42.512,1:44.563,1:42.596,1:42.731,1:42.100,1:42.314,1:42.359,1:42.585,1:42.757,1:42.370,1:44.216
Mark Webber (WEB),2:05.725,2:06.427,2:09.052,2:13.473,2:19.793,2:35.456,2:49.332,3:03.839,52:16.250,2:54.611,2:47.197,2:45.512,2:51.618,2:11.916,2:28.513,2:06.252,2:04.539,2:03.297,2:03.375,2:03.420,2:02.844,2:02.519,2:02.413,2:03.415,2:01.224,2:00.563,2:00.575,1:59.488,1:58.705,1:59.428,1:58.505,1:57.509,1:57.031,1:56.279,1:55.801,1:55.927,1:54.570,1:54.585,1:57.996,2:13.250,1:45.975,1:43.724,1:43.077,1:42.958,1:42.230,1:42.029,1:43.260,1:41.820,1:41.896,1:41.602,1:41.655,1:41.017,1:41.142,1:41.881,1:41.370,1:41.640
Felipe Massa (MAS),2:12.494,2:08.738,2:15.860,2:31.014,2:16.527,2:25.623,2:35.757,3:02.305,52:15.915,2:53.837,2:47.895,2:44.131,2:50.181,2:13.075,2:26.350,2:06.116,2:04.649,2:04.190,2:03.663,2:03.395,2:02.972,2:03.544,2:02.997,2:02.889,2:01.806,2:05.615,2:05.785,2:18.580,1:58.906,1:58.729,1:59.292,1:59.468,1:59.461,2:00.028,1:59.562,1:59.607,2:00.473,2:00.795,2:18.477,1:49.882,1:47.867,1:46.714,1:45.202,1:44.433,1:43.930,1:43.525,1:43.297,1:43.024,1:42.775,1:42.320,1:42.349,1:42.756,1:43.264,1:42.593,1:42.448,1:42.051
Timo Glock (GLO),2:16.754,2:12.536,2:18.432,2:32.496,2:19.041,2:31.143,2:34.558,2:58.241,52:12.259,2:54.314,2:51.125,2:40.910,2:49.558,2:29.837,2:08.768,2:07.108,2:06.556,2:05.877,2:05.119,2:04.710,2:04.310,2:04.507,2:05.475,2:03.876,2:03.510,2:03.205,2:03.118,2:02.396,2:02.747,2:01.585,2:01.126,1:59.974,2:00.587,1:59.874,1:58.494,1:59.118,2:01.638,1:58.215,2:01.143,2:12.878,1:50.510,1:48.569,1:46.999,1:46.181,1:45.916,1:48.525,1:47.071,1:45.106,1:45.069,1:44.757,1:45.870,1:46.271,1:48.161,1:46.400,1:45.312
Kimi Räikkönen (RAI),2:10.720,2:08.117,2:11.713,2:14.580,2:24.665,2:50.353,2:33.428,3:02.847,52:13.076,2:54.185,2:48.079,2:42.566,2:52.351,2:25.205,2:05.927,2:06.522,2:03.894,2:03.398,2:02.960,2:02.974,2:02.656,2:02.913,2:03.372,2:01.183,2:00.902,2:01.438,2:00.534,2:00.158,1:59.392,1:59.799,1:58.544,1:57.434,1:56.467,1:56.140,1:55.739,1:55.167,1:55.194,1:55.315,1:54.867,1:57.561,2:12.507,1:46.680,1:44.884,1:44.082,1:43.618,1:42.648,1:43.286,1:41.847,1:42.425,1:41.040,1:41.113,1:41.550,1:40.722,1:40.725,1:40.752,1:41.054
Heikki Kovalainen (KOV),2:14.525,2:11.628,2:13.602,2:24.598,2:42.149,2:24.645,2:34.800,2:58.001,52:11.997,2:55.000,2:51.600,2:39.934,2:44.474,2:13.277,2:28.727,2:06.449,2:05.352,2:06.518,2:05.159,2:04.964,2:04.274,2:05.055,2:14.268,2:31.860,2:01.809,2:01.253,2:01.340,2:01.881,2:01.319,2:01.512,2:00.840,2:00.211,1:59.939,2:02.061,2:00.613,1:58.860,1:59.251,2:02.639,2:10.353,1:48.045,1:46.992,1:48.233,1:49.108,1:45.145,1:45.025,1:44.324,1:44.229,1:44.104,1:45.385,1:45.299,1:45.742,1:49.701,1:44.320,1:43.803,1:45.622
Fernando Alonso (ALO),2:07.439,2:07.294,2:10.363,2:18.201,2:32.702,2:18.545,2:46.043,3:03.361,52:17.452,2:53.924,2:46.236,2:45.695,2:51.294,2:09.415,2:22.992,2:01.920,2:02.119,2:01.296,2:01.425,2:01.322,2:01.407,2:00.921,2:00.723,2:00.416,2:00.310,1:59.883,2:00.014,1:59.118,1:58.679,1:58.052,1:58.027,1:57.215,1:56.617,1:56.447,1:55.785,1:55.765,1:54.720,1:54.380,1:54.135,1:57.722,2:08.355,1:46.796,1:45.583,1:44.618,1:43.701,1:42.669,1:42.334,1:42.436,1:42.545,1:42.159,1:41.898,1:41.727,1:41.680,1:41.689,1:42.130,1:42.118
Nico Rosberg (ROS),2:09.366,2:06.754,2:10.115,2:14.564,2:24.736,2:45.373,2:35.764,3:02.913,52:15.695,2:53.980,2:47.434,2:44.777,2:53.243,2:25.969,2:06.047,2:04.296,2:04.162,2:03.941,2:03.679,2:03.036,2:02.756,2:03.071,2:04.549,2:03.937,2:03.915,2:06.026,2:19.675,2:00.728,1:59.595,1:58.370,1:59.095,1:58.388,1:58.235,1:58.509,1:58.259,1:58.390,1:56.965,1:55.809,1:58.994,2:11.554,1:47.544,1:45.848,1:44.726,1:44.948,1:44.346,1:44.825,1:43.775,1:43.118,1:42.653,1:42.014,1:41.863,1:42.078,1:42.398,1:42.969,1:42.171,1:42.465
Lewis Hamilton (HAM),2:03.650,2:05.093,2:07.896,2:11.167,2:18.582,2:32.162,2:57.241,3:03.907,52:17.033,2:54.404,2:47.695,2:45.848,2:51.736,2:08.096,2:31.013,2:03.736,2:03.346,2:02.688,2:02.632,2:02.366,2:01.750,2:01.607,2:01.493,2:01.512,2:00.739,2:00.113,1:59.774,1:59.362,1:58.969,1:58.465,1:57.726,1:57.032,1:56.884,1:56.341,1:55.806,1:54.866,1:54.728,1:54.470,1:53.598,1:53.435,1:56.261,2:08.256,1:43.897,1:43.696,1:42.708,1:42.293,1:43.358,1:42.059,1:42.087,1:41.539,1:41.690,1:41.728,1:41.790,1:41.714,1:41.763,1:42.603
