Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Giancarlo Fisichella (FIS),1:36.614,1:23.581,1:22.578,1:22.901,1:23.168,1:22.372,1:21.225,1:21.117,1:21.188,1:21.084,1:21.128,1:20.947,1:21.286,1:20.958,1:21.602,1:20.486,1:21.920,1:19.920,1:20.050,1:20.098,1:20.138,1:19.813,1:24.690,1:41.940,1:22.097,1:22.130,1:21.666,1:21.637,1:21.561,1:21.532,1:21.603,1:22.005,1:20.505,1:20.559,1:20.392,1:20.546,1:20.531,1:20.551,1:20.207,1:19.912,1:25.498,1:53.832,1:56.076,2:22.124,2:16.187,1:23.160,1:21.363,1:20.807,1:20.484,1:20.934,1:20.741,1:20.838,1:20.595,1:20.641,1:20.620,1:20.714,1:20.483,1:20.633,1:20.935,1:20.685
Jenson Button (BUT),1:26.983,1:21.169,1:20.403,1:20.171,1:20.179,1:19.803,1:19.578,1:19.685,1:19.741,1:19.488,1:23.719,1:38.580,1:20.536,1:21.139,1:24.418,1:21.476,1:20.459,1:20.765,1:20.328,1:20.618,1:20.834,1:20.309,1:20.460,1:20.558,1:20.803,1:20.186,1:24.471,1:38.870,1:20.900,1:20.826,1:21.442,1:21.039,1:21.074,1:20.915,1:21.588,1:21.041,1:20.915,1:20.629,1:20.442,1:20.321,1:25.469,1:43.218,2:15.332,2:22.502,2:15.620,1:23.348,1:21.275,1:20.326,1:20.673,1:20.734,1:20.601,1:20.526,1:20.279,1:20.629,1:21.103,1:20.735,1:20.721,1:20.812,1:20.811,1:21.808
Mark Webber (WEB),1:31.262,1:22.135,1:22.151,1:21.868,1:21.706,1:21.273,1:21.113,1:21.214,1:20.978,1:20.871,1:20.768,1:21.086,1:21.582,1:21.980,1:22.961,1:24.805,1:42.987,1:22.112,1:21.652,1:22.776,1:23.078,1:21.882,1:22.063,1:21.716,1:21.308,1:21.528,1:21.549,1:21.369,1:21.106,1:21.644,1:21.509,1:21.672,1:21.799,1:21.206,1:21.253,1:20.845,1:24.964,1:42.436,1:21.508,1:25.258,1:29.366,1:28.414,1:40.459,2:22.630,2:14.519,1:24.371,1:22.393,1:22.574,1:22.549,1:21.206,1:21.043,1:21.284,1:20.969,1:21.143,1:21.032,1:21.388,1:20.974,1:20.776,1:20.953,1:21.385
Jarno Trulli (TRU),1:28.728,1:21.630,1:21.209,1:20.999,1:21.197,1:20.907,1:21.079,1:20.881,1:21.080,1:21.179,1:21.082,1:21.187,1:26.518,1:41.267,1:21.733,1:21.612,1:21.751,1:22.435,1:24.236,1:22.310,1:22.185,1:21.688,1:21.686,1:21.943,1:21.819,1:21.888,1:21.751,1:21.458,1:21.517,1:21.612,1:21.637,1:26.885,1:39.196,1:20.655,1:20.928,1:21.258,1:20.895,1:21.073,1:20.979
David Coulthard (COU),1:29.183,1:21.940,1:21.173,1:20.932,1:21.152,1:20.945,1:20.938,1:20.991,1:21.101,1:25.257,1:41.253,1:21.141,1:20.866,1:20.976,1:21.307,1:21.191,1:21.271,1:22.779,1:21.284,1:20.881,1:21.573,1:20.989,1:21.238,1:20.898,1:20.547,1:20.964,1:20.875,1:20.564,1:20.860,1:24.674,1:40.514,1:20.857,1:24.238,1:21.360,1:21.240,1:21.237,1:21.453,1:20.868,1:21.027,1:20.878,1:30.365,1:45.377,1:45.283,2:22.212,2:15.576,1:23.415,1:21.868,1:22.189,1:21.012,1:21.130,1:21.035,1:21.072,1:20.695,1:20.648,1:21.051,1:21.113,1:21.227,1:21.064,1:21.201,1:21.420
Felipe Massa (MAS),1:31.752,1:22.369,1:22.054,1:21.965,1:21.614,1:21.421,1:21.280,1:21.217,1:21.030,1:20.856,1:20.599,1:20.915,1:21.428,1:21.763,1:24.095,1:25.194,1:43.897,1:21.995,1:21.815,1:22.054,1:23.435,1:22.092,1:21.811,1:21.682,1:21.484,1:20.976,1:20.944,1:21.003,1:21.217,1:21.309,1:21.391,1:21.690,1:21.580,1:21.417,1:21.242,1:20.812,1:20.901,1:24.424,1:44.742,1:24.586,1:29.106,1:30.953,1:39.766,2:21.737,2:15.260,1:23.409,1:21.489,1:22.393,1:22.743,1:21.489,1:21.059,1:21.162,1:21.139,1:21.237,1:20.886,1:21.263,1:21.013,1:20.484,1:20.829,1:21.255
Takuma Sato (SAT),1:30.022,1:22.108,1:22.820,1:21.701,1:21.720,1:21.032,1:20.930,1:20.910,1:21.057,1:20.990,1:20.995,1:20.790,1:21.603,1:22.595,1:31.259,1:41.868,1:22.407,1:22.357,1:22.058,1:21.938,1:24.211,1:23.187,1:22.225,1:21.737,1:21.525,1:21.408,1:21.120,1:21.492,1:21.597,1:21.389,1:21.718,1:21.844,1:21.796,1:21.476,1:25.653,1:44.015,1:21.956,1:21.899,1:22.137,1:23.141,1:27.012,1:26.793,1:39.990,2:21.454,2:14.133,1:24.733,1:22.735,1:21.824,1:22.373,1:22.697,1:21.973,1:22.049,1:21.591,1:21.670,1:21.296,1:21.568,1:21.444,1:21.493,1:21.439,1:21.483
Kimi Räikkönen (RAI),1:22.877,1:20.024,1:19.880,1:19.714,1:20.080,1:19.715,1:19.676,1:19.624,1:19.658,1:19.554,1:24.315,1:40.009,1:21.635,1:20.953,1:21.422,1:20.713,1:20.683,1:20.642,1:20.336,1:20.434,1:20.691,1:20.916,1:21.210,1:20.918,1:20.634,1:20.457,1:20.722,1:24.861,1:37.980,1:20.443,1:20.469,1:20.266,1:20.831,1:20.179,1:20.233,1:19.991,1:20.962,1:20.437,1:21.002,1:21.092,1:26.583,1:41.832,2:23.943,2:23.459,2:15.309,1:21.495,1:20.856,1:20.402,1:20.606,1:20.527,1:20.411,1:20.469,1:20.406,1:20.305,1:20.772,1:20.225,1:20.356,1:20.472,1:20.141,1:20.023
Fernando Alonso (ALO),1:34.804,1:22.516,1:22.032,1:20.990,1:20.860,1:21.377,1:21.065,1:25.707,1:39.880,1:21.073,1:21.135,1:20.996,1:21.199,1:21.777,1:21.983,1:21.723,1:22.355,1:21.890,1:21.521,1:22.593,1:23.131,1:21.949,1:21.991,1:21.711,1:25.610,1:39.222,1:21.660,1:21.330,1:21.720,1:21.427,1:21.674,1:21.816,1:21.931,1:21.305,1:20.892,1:20.844,1:20.851,1:20.448,1:20.442,1:21.704,1:26.166,1:44.494,1:39.995,2:21.443,2:14.181,1:23.314,1:21.536,1:22.315,1:22.653,1:22.295,1:20.709,1:20.950,1:21.022,1:21.227,1:21.168,1:21.298,1:20.985,1:20.597,1:20.737,1:21.316
Nick Heidfeld (HEI),1:36.349,1:25.520,1:23.775,1:22.916,1:22.937,1:22.907,1:22.777,1:22.369,1:22.665,1:22.443,1:22.610,1:22.625,1:22.660,1:22.373,1:21.876,1:21.761,1:21.720,1:26.465,1:43.676,1:23.187,1:23.149,1:23.154,1:23.424,1:23.079,1:22.845,1:23.067,1:22.840,1:24.408,1:22.585,1:22.821,1:22.408,1:23.432,1:22.356,1:22.379,1:22.084,1:22.001,1:26.567,1:47.234,1:23.522,1:29.425,1:29.497,2:05.652,2:22.739,2:16.020,1:29.380,1:25.830,1:23.124,1:22.763,1:23.429,1:23.020,1:22.749,1:22.751,1:22.816,1:22.457,1:22.313,1:22.433,1:22.065,1:22.209,1:22.091
