Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Olivier Panis,2:12.397,1:59.056,1:59.067,1:58.691,1:58.235,1:58.259,1:59.332,1:59.259,1:58.592,1:58.026,1:57.577,2:07.467,2:14.453,1:57.435,1:57.410,1:56.753,1:57.117,1:57.205,1:57.309,1:57.209,1:58.103,1:56.984,1:57.016,1:56.681,1:57.098,1:56.898,2:04.619,2:13.317,1:56.842,1:56.816,1:57.506,1:57.452,1:57.201,1:57.200,1:57.145,1:57.841,1:57.490,1:57.469,1:57.860,1:57.720,1:58.827,1:57.785,1:58.656,1:59.225
Ricardo Zonta (ZON),3:52.416,2:00.449,2:02.502,2:01.558,2:03.997,2:02.734,2:04.287,2:01.105,2:01.501,2:00.483,2:01.261,2:02.953,2:01.560,2:02.522,2:00.074,2:01.224,2:00.010,2:01.883,2:00.013,2:00.229,2:07.667,2:18.771,2:00.355,1:59.120,1:58.918,1:59.473,2:00.336,1:59.099,1:58.995,1:59.554,1:59.263,1:59.255,2:53.378
Pedro de la Rosa (DLR),2:14.414,2:01.732,2:00.342,2:00.280,2:01.604,2:00.287,2:00.895,2:01.124,2:00.551,2:01.000,2:00.481,1:59.860,2:00.679,2:08.658,2:15.220,1:58.480,2:00.847,2:00.303,1:59.752,2:01.120,1:59.297,2:01.574,1:59.621,1:59.782,1:59.541,1:59.374,1:59.189,2:00.588,2:06.929,2:20.151,1:58.638,2:00.258,1:58.836,1:59.360,1:59.339
Jacques Villeneuve (VIL),2:10.513,2:00.271,1:59.007,1:58.864,2:00.291,1:58.336,1:58.773,1:59.699,1:59.040,1:59.348,1:58.731,1:58.819,1:59.537,1:59.457,1:58.250,1:58.339,1:58.461,1:59.714,2:00.038,1:58.462,1:59.715,1:58.516,1:57.619,1:57.728,1:57.675,2:06.108,2:14.634,1:58.075,1:58.259,1:58.176,1:58.051,1:58.612,1:58.036,1:59.246,1:58.318,1:58.611,1:58.971,1:58.162,1:58.482,2:00.373,1:59.536,1:58.271,2:04.580
Alexander Wurz (WUR),2:09.663,2:00.023,1:58.946,1:58.545,1:58.789,1:58.790,1:59.480,1:58.557,1:59.898,2:00.087,1:59.309,1:58.726,1:59.032,1:58.929,1:58.936,1:58.283,1:58.057,1:59.134,1:58.678,1:58.505,2:00.627,2:05.578,2:17.420,1:57.639,1:57.721,1:58.082,1:57.526,1:58.383,1:58.605,1:58.128,1:58.183,1:58.501,1:58.144,1:59.076,1:58.520,1:58.319,1:58.034,1:58.203,1:58.258,1:58.104,1:58.682,1:58.296,1:58.369,2:02.037
Ralf Schumacher (SCH),2:04.534,1:57.583,1:57.147,1:57.306,1:57.542,1:56.584,1:57.291,1:56.828,1:56.874,1:57.067,1:57.257,1:57.154,1:57.189,1:57.329,1:57.513,1:57.484,1:56.779,1:57.168,1:57.586,1:58.055,1:57.986,2:05.618,2:17.526,1:56.570,1:56.147,1:56.180,1:55.964,1:56.591,1:58.283,1:58.172,1:57.836,1:57.004,1:57.941,1:57.084,1:57.302,1:56.787,1:56.337,1:56.472,1:56.801,1:56.522,1:56.847,1:57.075,1:57.347,1:58.462
Rubens Barrichello (BAR),2:07.291,1:58.396,1:58.265,1:57.585,1:57.816,1:58.194,1:57.627,1:57.776,1:57.483,1:58.022,1:57.642,1:57.793,1:57.657,1:57.739,1:57.708,1:57.273,2:04.697,2:16.962,1:57.721,1:57.753,2:00.004,1:57.932,1:57.062,1:56.801,1:56.840,1:56.212,1:56.141,1:56.591,1:57.241,1:56.975,1:56.961,2:05.082,2:11.975,1:56.131,1:57.064,1:57.184,1:56.667,1:56.665,1:57.102,1:57.190,1:57.445,1:56.986,1:57.001,1:57.147
Giancarlo Fisichella (FIS),2:08.523,1:59.094,1:58.996,1:58.320,2:00.051,1:58.180,1:58.846,1:58.784,1:59.084,1:59.068,1:58.343,1:59.420,1:59.007,1:59.642,1:57.804,1:57.286,1:57.376,1:57.717,1:58.806,1:57.429,2:05.202,2:16.535,1:57.777,1:57.651,1:57.683,1:57.170,1:57.037,1:57.243,1:58.771,1:58.720,1:57.595,1:57.516,1:58.879,1:57.522,1:57.586,1:57.757,1:57.493,1:57.421,1:57.617,1:57.428,1:57.213,1:57.850,1:58.348,1:59.462
Jarno Trulli (TRU),2:10.927,1:59.117,1:58.826,1:59.025,1:58.468,1:58.847,1:59.296,1:58.818,1:58.668,1:57.708,1:58.490,1:59.037,1:59.190,2:07.764,2:12.752,1:57.006,1:57.046,1:57.319,1:57.236,1:57.198,1:57.604,1:57.315,1:57.071,1:56.799,1:57.250,1:57.142,1:56.641,1:56.367,1:56.375,2:04.800,2:11.595,1:57.042,1:57.054,1:56.832,1:56.791,1:56.946,1:57.222,1:57.239,1:57.250,1:57.520,1:57.499,1:57.938,1:58.179,2:00.002
David Coulthard (COU),2:00.185,1:55.192,1:55.635,1:55.283,1:55.058,1:54.782,1:54.890,1:55.078,1:55.520,1:55.968,1:56.066,1:55.881,1:55.533,1:55.804,1:55.630,1:55.862,1:55.897,1:57.278,2:04.344,2:09.836,1:55.841,1:55.400,1:56.126,1:54.664,1:54.305,1:54.519,1:54.298,1:54.088,1:54.763,1:56.249,1:54.640,2:03.281,2:09.648,1:54.894,1:55.321,1:55.582,1:55.503,1:56.088,1:57.041,1:56.427,1:56.639,1:58.762,1:58.788,2:00.468
