Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Kevin Magnussen (MAG),1:33.075,1:25.593,1:24.883,1:24.485,1:24.522,1:24.349,1:24.369,1:24.456,1:24.382,1:23.949,1:24.120,1:23.994,1:23.969,1:24.108,1:23.988,1:24.205,1:23.908,1:23.914,1:23.851,1:23.918,1:23.867,1:24.148,1:28.009,1:41.623,1:23.050,1:22.419,1:23.379,1:23.904,1:23.659,1:23.673,1:23.747,1:23.943,1:22.678,1:23.188,1:23.243,1:24.577,1:23.198,1:23.073,1:22.697,1:22.365,1:22.590,1:22.659,1:22.363,1:22.745,1:31.081,2:15.493,1:45.513,1:35.231,1:56.359,2:10.156,2:04.242,2:03.317,1:24.255,1:21.791,1:21.507,1:21.794,1:22.373,1:21.509,1:21.397,1:21.339,1:21.187,1:21.356,1:21.069,1:21.017,1:21.011,1:20.770
Valtteri Bottas (BOT),1:28.519,1:23.495,1:23.021,1:23.161,1:22.676,1:22.536,1:22.589,1:22.260,1:22.296,1:22.211,1:22.275,1:22.300,1:22.097,1:21.979,1:22.094,1:22.190,1:22.174,1:22.415,1:23.479,1:23.423,1:23.410,1:22.731,1:22.797,1:23.405,1:23.910,1:27.529,1:41.045,1:21.593,1:20.857,1:21.719,1:21.725,1:22.118,1:22.410,1:21.723,1:22.073,1:22.003,1:22.295,1:21.571,1:21.834,1:21.836,1:21.963,1:21.560,1:22.461,1:20.822,1:24.690,2:10.385,2:00.002,2:06.263,2:12.766,2:14.821,2:04.197,2:07.434,1:21.217,1:21.362,1:18.737,1:20.027,1:19.708,1:19.966,1:19.978,1:19.910,1:19.864,1:19.903,1:20.151,1:19.912,1:20.098,1:20.546
Daniel Ricciardo (RIC),1:35.756,1:26.364,1:25.278,1:24.611,1:24.595,1:24.993,1:24.798,1:24.603,1:24.482,1:23.872,1:24.364,1:24.221,1:23.961,1:24.637,1:24.624,1:24.370,1:24.636,1:24.228,1:24.576,1:24.643,1:24.031,1:24.047,1:25.135,1:26.875,1:43.527,1:24.161,1:23.458,1:23.763,1:23.377,1:23.646,1:23.566,1:23.641,1:23.870,1:23.356,1:23.026,1:23.201,1:23.009,1:23.304,1:23.191,1:24.987,1:23.201,1:22.929,1:22.978,1:23.123,1:42.169,2:23.460,2:11.374,2:12.943,1:50.345,1:24.978,1:24.611,1:55.775,1:25.555,1:23.149,1:22.129,1:20.615,1:21.834,1:22.645,1:21.908,1:21.556,1:21.995,1:21.848,1:21.510,1:21.392,1:20.924,1:21.472
Sergio Pérez (PER),1:36.385,1:26.549,1:25.829,1:25.141,1:24.826,1:24.721,1:24.712,1:24.785,1:24.701,1:24.337,1:24.215,1:24.193,1:23.920,1:24.576,1:24.200,1:24.191,1:24.917,1:24.419,1:24.499,1:24.560,1:24.309,1:24.352,1:24.240,1:29.200,1:43.038,1:22.979,1:23.347,1:23.653,1:23.507,1:23.858,1:23.649,1:23.267,1:23.907,1:23.420,1:23.469,1:23.489,1:24.895,1:23.586,1:23.483,1:22.885,1:23.554,1:25.012,1:23.192,1:23.450,1:43.422,2:16.826,2:12.657,2:11.890,1:51.728,1:25.929,1:23.428,1:53.763,1:25.742,1:23.806,1:22.738,1:22.231,1:24.370,1:22.228,1:22.111,1:21.993,1:22.032,1:22.056,1:21.975,1:22.707,1:21.859,1:22.412
Nico Hülkenberg (HUL),1:38.687,1:27.232,1:26.311,1:25.576,1:25.331,1:25.273,1:24.238,1:24.706,1:25.666,1:24.375,1:24.476,1:24.273,1:24.386,1:24.214,1:24.512,1:24.273,1:25.159,1:24.459,1:24.407,1:24.313,1:24.406,1:24.191,1:22.922,1:23.725,1:23.546,1:23.521,1:25.215,1:24.211,1:23.668,1:23.668,1:23.735,1:24.196,1:26.354,1:24.196,1:27.439,1:42.090,1:24.934,1:22.580,1:24.742,1:22.832,1:23.252,1:22.924,1:22.836,1:22.706,1:44.635,2:07.571,2:11.415,2:12.761,1:50.112,1:24.986,1:24.226,1:56.730,1:25.530,1:23.106,1:22.135,1:22.846,1:22.247,1:22.160,1:22.110,1:21.594,1:21.885,1:21.700,1:21.930,1:21.629,1:21.282,1:21.338
Romain Grosjean (GRO),1:32.573,1:24.854,1:24.400,1:24.389,1:24.094,1:23.786,1:23.710,1:24.383,1:24.171,1:24.058,1:24.053,1:24.106,1:23.980,1:24.019,1:24.148,1:23.923,1:23.856,1:23.862,1:23.775,1:23.798,1:23.840,1:23.607,1:23.681,1:23.466,1:23.973,1:27.596,1:42.507,1:22.977,1:22.483,1:22.546,1:22.568,1:22.713,1:22.580,1:22.805,1:22.335,1:22.888,1:22.933,1:22.323,1:22.516,1:22.547,1:22.402,1:22.699,1:22.323,1:22.094,1:22.623,2:04.674,2:16.373,1:34.775,1:56.622,2:09.617,2:04.566,2:04.440,1:25.103,1:22.031,1:21.287,1:21.798,1:22.708,1:23.024,1:22.376,1:21.699,1:22.851,1:21.480,1:21.501,1:21.057,1:21.069,1:21.070
Sebastian Vettel (VET),1:30.453,1:23.893,1:23.455,1:23.378,1:23.232,1:23.146,1:22.906,1:22.957,1:22.975,1:23.081,1:23.160,1:24.650,1:23.583,1:23.449,1:23.358,1:23.682,1:23.832,1:23.483,1:27.181,1:42.585,1:23.219,1:21.713,1:23.603,1:21.333,1:22.751,1:22.762,1:21.938,1:22.744,1:21.730,1:21.962,1:22.082,1:21.611,1:22.657,1:21.987,1:21.922,1:21.787,1:21.728,1:21.181,1:21.499,1:25.804,1:39.608,1:20.065,1:20.338,1:20.836,1:20.691,1:55.305,2:01.320,1:54.962,2:12.576,2:13.300,2:05.070,2:05.999,1:22.343,1:20.892,1:20.466,1:20.100,1:19.971,1:20.184,1:20.194,1:20.145,1:20.144,1:20.070,1:20.472,1:19.820,1:20.196,1:20.091
Robert Kubica (KUB),1:38.564,1:28.746,1:27.102,1:27.185,1:27.130,1:26.308,1:26.312,1:26.074,1:26.190,1:26.224,1:28.315,1:26.431,1:26.369,1:25.840,1:25.955,1:25.930,1:26.235,1:27.905,1:27.481,1:27.593,1:27.854,1:26.495,1:26.406,1:26.383,1:27.738,1:27.423,1:28.725,1:27.598,1:26.688,1:28.422,1:30.896,1:50.949,1:26.850,1:25.670,1:27.051,1:26.552,1:25.207,1:28.541,1:27.115,1:24.869,1:25.565,1:26.928,1:25.600,2:01.716,2:16.055,1:33.372,2:10.583,1:49.668,1:25.729,1:24.811,1:45.935,1:26.298,1:24.864,1:24.117,1:23.933,1:24.012,1:24.131,1:23.920,1:23.562,1:23.770,1:23.564,1:23.772,1:23.714,1:23.372,1:23.202
Kimi Räikkönen (RAI),1:43.029,1:25.550,1:26.653,1:26.605,1:24.316,1:25.007,1:24.866,1:24.385,1:24.760,1:24.716,1:24.609,1:24.293,1:24.569,1:24.567,1:24.580,1:24.633,1:24.791,1:24.683,1:25.024,1:24.549,1:24.182,1:24.437,1:24.133,1:26.611,1:24.671,1:24.499,1:24.524,1:29.118,1:42.839,1:23.872,1:23.646,1:25.030,1:23.563,1:25.178,1:23.660,1:23.547,1:23.246,1:23.633,1:23.720,1:23.365,1:23.313,1:23.239,1:23.246,1:25.759,1:55.481,2:16.444,1:49.418,2:13.731,1:46.260,1:24.060,1:24.292,1:51.560,1:24.711,1:24.006,1:22.817,1:22.121,1:22.393,1:21.953,1:21.866,1:21.855,1:21.851,1:21.601,1:21.990,1:21.667,1:21.571,1:21.382
Lewis Hamilton (HAM),1:26.434,1:23.657,1:23.183,1:22.782,1:22.698,1:22.310,1:22.254,1:22.355,1:21.972,1:21.974,1:22.284,1:21.998,1:21.947,1:22.151,1:21.766,1:21.913,1:21.904,1:22.741,1:22.991,1:21.527,1:22.386,1:22.383,1:22.466,1:22.260,1:22.886,1:22.926,1:26.194,1:41.228,1:22.131,1:22.300,1:21.134,1:22.286,1:22.341,1:22.293,1:21.745,1:21.844,1:21.784,1:21.578,1:22.137,1:21.724,1:22.210,1:22.206,1:21.891,1:21.957,1:20.953,1:33.804,2:35.803,2:09.746,2:14.091,2:20.867,2:04.405,2:07.645,1:19.850,1:18.492,1:20.909,1:19.980,1:19.858,1:20.295,1:19.681,1:19.774,1:19.885,1:19.847,1:19.928,1:19.771,1:19.619,1:20.109
